Power_t_2,Gas pressure diff._t_5,Measured speed_t_2
-1831169.3026737717,0.6144985328404857,-753901.3276593992
-1831169.3026737717,0.6144985328404857,-753901.3276593992
42414.90114076552,4.308416727217646,-82237.5168641971
180666.80095141623,0.8150259981059647,-90998.63070725689
-162215.1936784894,0.21944803798955337,-243619.12390743106
467424.3630659311,-1.5463414115746101,239573.99629742437
1143754.6534238681,1.9125347048401014,778534.3810244577
2039791.1985788895,1.7206186172373543,996430.1126973741
1164493.7719056206,1.706387396531139,284608.9052324919
1160793.2261571628,1.5887945323619954,394028.4433388265
1016116.3030971307,1.615917098210155,296234.32574650826
-14551.480048673518,0.5664831606969907,59602.27551959397
-731173.5576126591,1.8664364125713386,-290874.68555806606
-70379.54229408153,0.07443326161205394,-306785.65286330984
733996.3308812217,0.7680512975709062,499181.9360173686
1113677.8803281593,3.4474909481624687,433694.9887883299
-2625675.0596955707,-0.5014403962125192,-1026841.2772276201
-1591129.197887224,0.781263714379913,-449392.6389326225
319846.16879596934,2.6951307801863877,42651.93316837499
432536.96110449795,-0.30308104274951086,254600.5486368967
237197.77967651992,1.524539613047376,241328.75787000638
567863.371075922,-0.14343427021183341,183002.8100281963
298826.06914698944,3.406940437369637,130403.48587277539
-382347.91026819847,3.5873412336054953,-486972.45241107023
-408455.06194379524,3.525772469705977,-278991.77239168994
727635.3688556959,2.8767535200926018,392855.6197118725
482582.12453932187,3.0266910514149967,325762.19460587855
163366.99070393335,-0.2532593196791688,-181445.5274249936
419044.79041192617,1.2224122652093914,492340.07623521646
383782.88923323294,1.5431844805488475,25593.186495897084
958226.2745302621,-0.5117974011862633,555550.7340536246
-295961.6308881569,5.318227743079806,-313210.29417056177
-2047902.957085329,-1.2190680191790444,-839373.7882816142
345871.43354706094,5.922279735117734,123835.44468044961
-1592991.0923883247,-0.585692635776333,-666109.7310184203
-483488.25812784943,-1.423520833745729,-326134.23349973565
1216516.298880594,3.1197738413434863,295235.8295447439
681205.0753696893,3.283082100483344,231195.4150972928
-576975.4312189717,1.601211577617714,-239149.79569996204
-633902.0179576537,0.7668431902869822,-27286.877307100513
199688.73336216764,1.4849945524636325,204865.77855706858
956144.6104389633,2.374513887988125,260624.2987078507
-143030.13629547745,1.9600544548188863,-390839.7023953089
-478767.2277014133,3.0166999953677984,-3670.3897011837926
-269542.29677202133,-0.45042418327594924,-376361.1462656556
-148191.11082137495,1.3870257494525622,170762.6268688769
170639.5301573495,1.2625712540861969,-87054.09563462279
-691018.3698732583,1.0679074248522489,-221105.44464915915
26321.08641552266,2.350139531595121,223452.68435387878
83961.39897811785,1.6298407810677846,-21984.948489866278
-651269.1976779866,0.8017912530376721,-239857.93746194374
-38457.61083514159,0.6735296859013679,-51310.440634291794
186005.37993956613,1.984790614940896,262309.3278582028
-123870.7902438204,2.3954394993581234,-16263.22767646052
-409169.71254458633,3.3358971244321225,19242.974952969846
-409169.71254458633,3.3358971244321225,19242.974952969846
-350826.7552987229,5.851205983808489,-298925.9455048178
-1525998.211074117,-3.0277244636554483,-233857.55497066767
-1102880.2803587317,-2.328624671414847,-427024.2860578294
-1383135.8898997807,3.3918653533726406,-624902.9634608178
-1336492.1680315319,3.5756956924099343,-651517.5550251702
1589186.2790116654,-0.7568196207593313,795289.2470595462
1663986.5641910068,-0.37966354902429966,541439.0768770899
1619603.6313063796,0.2794692396338674,428035.84575330006
-763246.94476185,3.1638649036562922,-171956.85837198526
-890453.4655259991,3.013400988433405,-487110.06575303385
-1118938.8694376429,2.6511502976400165,-726691.5087637671
-1118938.8694376429,2.6511502976400165,-726691.5087637671
-1415906.2862660754,1.9541008919789735,-200229.56018765137
-303314.22079290636,-2.823098249681439,-50971.00041967153
92962.85473307752,-3.4707616431118122,-87794.5432851287
-282561.3398047181,-5.052182523780692,126513.7648378705
-282561.3398047181,-5.052182523780692,126513.7648378705
-377458.284535441,-4.855054753241012,-25820.354353397663
-1210226.447576242,-2.930842463155765,-68612.3477132317
-1562985.1308462243,1.7296743985581695,-874015.266405384
503087.71373704204,3.3439384150516624,416435.83700309205
-569872.3215890112,0.6574098379904048,-330334.64992852195
-1835814.2779628544,1.1974128213874216,-533424.8152175596
-113969.18130249862,1.67483430712759,-354165.0904408973
-112561.33710152005,-1.1776173142246187,-33768.925147988775
59864.14324276185,3.271543609800001,153968.10942598473
641310.9065135857,1.8149270078891706,247310.11582776235
471777.815741064,-1.7718544279292685,271569.1677265285
2119662.596342255,0.21113056089428817,629323.6340887551
186198.25785055477,1.7151783226548927,84812.23217578366
186198.25785055477,1.7151783226548927,84812.23217578366
-826106.6992697415,0.33468832365188095,-52323.37601443488
-2412607.5468145506,0.09476702462074499,-560103.8642171451
-2985780.3252203213,-0.8493371501998859,-712338.2095059708
-2527981.1655812915,1.7754306633443036,-757367.985159206
1505331.622979203,1.7378582199288197,765288.7815212781
2325666.06505344,0.15719841909562193,880257.9659214743
2325666.06505344,0.15719841909562193,880257.9659214743
-625743.1088235992,0.9221958050326104,-28585.99456904264
-77054.32212152815,-0.6081902323794864,3125.1991805321886
-163654.8699887495,-0.06459585883752916,-39811.8526716253
-1039688.358657281,-1.8287734919591014,-401289.5015305559
1923475.8792870287,1.9278556733333887,636181.7182797842
-989966.2252878902,-0.5088932191692684,-468318.4820065038
1265276.730813464,0.7094419105287029,348478.58341282426
558202.6365258748,-0.7874502697309107,259923.70070593807
47582.00520896795,-0.2994173863312012,113660.30593554414
-440973.08886399143,-0.3559729674672028,-85517.9947098349
-282527.59823422635,-1.0222523728775499,-440221.3279733199
-909562.3735581948,0.11218197478785785,-241686.06981350225
-340315.2910907337,1.7417761776804133,-207103.19612949938
113479.95659082863,-0.154701837310119,-65812.58862132717
-444155.46039883967,1.9165305328973872,-42703.81507035342
-2687.305823969131,0.1982425796921457,-161468.89414048987
44310.71341070783,0.12447318118315912,307710.72051970445
969602.464381853,-0.7263430942439741,87308.54179508396
933161.5067028501,-0.6347009615923638,231395.25259694044
-2066033.4894801578,-3.051409652589806,-745152.7076345903
-1409667.7546844417,-1.4054825819943777,-462751.2163291318
-72268.73291587428,0.8483129924710868,160720.83196214982
225203.0008429333,1.6879886218540154,59648.35379791117
1068351.1285517868,1.288985986839411,393109.5745702683
