Vibr. motor coupled_t_0,Power_t_0,Measured speed_t_0,Vibr. fan coupled_t_1,Vibr. fan coupled_t_0
2.560603901003613,-710688.2686378373,175742.74788073124,-0.1296095141091506,-64.18591040227638
1.7382564886594185,-631636.7472604619,147780.28575487284,-0.1459044292790552,-59.30534450143083
-0.036869576165999486,-640694.3311206182,152811.32646128885,-0.11781927756089289,-59.30638920957232
0.23773852276090254,-625367.6489170508,149258.10599708668,-0.12457838786261359,-57.90533154734326
0.7893765251078124,-510932.1016021618,138692.58180538486,-0.12544895162032713,-42.90855519945602
1.1511025123613923,-558573.9256960826,143830.1213357651,-0.16031363175533103,-48.96938904080456
1.5139327830034017,-572654.3204909317,145630.59143627898,-0.17066392258667396,-50.59299785457087
2.2021497843073954,-344029.37053588644,74302.83818045082,-0.16233357572666712,-33.934654357188876
2.049629635832374,-508952.85432048084,156011.43807771988,-0.16995132061323423,-38.08135245996381
2.4556651822349504,-564808.8916463453,147999.47743301908,-0.19920554849899866,-48.788082222595676
3.096456550845369,-411081.50461705006,198240.2066438963,-0.25680533223236696,-11.788934405993361
3.7314887882415446,-340550.4924817249,220752.55107995472,-0.2514377473528512,5.142232054367355
2.537048379913829,-465533.0495409588,183873.04917628106,-0.2816811421526793,-24.046410781956453
1.1519479870579605,-358428.02111404465,135293.8646141901,-0.2366283081799127,-20.2115588676148
1.8447443018893002,-486312.7296275185,89322.24353843842,-0.25066929754827394,-52.113004801791384
1.6078307595532153,-743978.9186357678,52352.100190804566,-0.2415061659479612,-101.65277714957813
1.2421024834732177,-35194.531949394164,-26956.55068394277,-0.2035354533192116,-12.61752037110195
1.2409375356035612,-35415.1678544792,-26948.009210254404,-0.2035606117454622,-12.576451796005973
0.7923695176943569,135907.95382803597,-82183.0545581667,-0.21329527540886367,-0.6576542891279893
1.379904968415001,209710.75158300757,-91475.9215074655,-0.21317537510610315,8.42328361219889
5.041545631224596,343751.9429067627,-173118.71805188907,-0.1841313178532447,7.947154844087753
4.935961845618892,272108.7299631389,-126872.77962548079,-0.18163299201750077,8.975194887938232
5.210803320389106,319101.40084137674,-171832.99116160377,-0.1755470814899196,4.554317390947285
4.664122258582851,356952.8342810896,-184526.6251809291,-0.189783253557931,7.066011242899372
4.593575044950364,420599.9985316904,-218335.18589054752,-0.1618382912746137,7.989807557297559
4.262629750079976,422237.18751875666,-206163.84653071887,-0.1530088349992284,11.408481140734438
4.260123279459559,272874.49996629753,-124245.01050839968,-0.14753301408066044,9.716688599308052
4.206585710713439,288619.578519706,-116061.85302107892,-0.14070517495647838,14.443829929183115
4.1115469023880795,295523.368129365,-113845.45861595032,-0.14351531881787039,15.968431293994618
4.357579589879822,384054.82369183603,-68082.75150499039,-0.10376960167927467,41.787074208542315
4.320417228433158,381494.5898883728,-65290.569714763085,-0.10479295856531545,42.060229266399894
2.7991678523495542,314696.5529436747,-116159.17206754269,-0.11918161020839936,18.264024806219354
2.7440095290939803,442710.85129581904,-114632.36683848822,-0.12075316516787574,38.52142976857459
3.0171734275481827,184742.827873831,-136812.11873457246,-0.10908333525332134,-7.203866465636701
1.8000084939134422,331825.6115922657,-192585.1523759519,-0.13718614752533753,0.8271880496580114
1.9471898396604304,333065.2935319053,-206757.99335416054,-0.1459695833799947,-2.696840201885977
3.3417943625527746,337628.1453360297,-156105.31308487567,-0.15091856929694464,11.37822374862189
3.628531114748712,476950.9393253856,-146510.8317671754,-0.1759561912677657,35.566290915871456
3.754469821501368,488967.62304435833,-156176.62218642802,-0.17854448055111258,34.82725162058689
4.0885322408993074,485772.5500125387,-149627.89411000596,-0.22958001860455507,36.15318104360079
4.240604194108364,428544.3478276765,-118314.61292831105,-0.24621048386877753,35.49875304886255
4.463693896604305,242640.51330430905,-102258.10525023911,-0.2221184857359808,10.994421492785952
2.605685593417947,231906.80345257488,-161982.67855153984,-0.17839881433288832,-6.534760358996006
