Current_t_5,Power_t_5,Vibr. motor coupled_t_5
-70177.47149930464,-1714075.0444826477,-1961.0856845637566
-70177.47149930464,-1714075.0444826477,-1961.0856845637566
-70177.47149930464,-1714075.0444826477,-1961.0856845637566
-70399.01215806136,-1718875.7972765714,-1964.3202898471368
-70495.95431488215,-1715726.7344809638,-1958.3625304097836
-70293.12665478331,-1706931.9533750894,-1954.6618976897103
-70454.80116291741,-1716731.9055340476,-1961.4637086351904
-70454.80116291741,-1716731.9055340476,-1961.4637086351904
-70454.80116291741,-1716731.9055340476,-1961.4637086351904
-70454.80116291741,-1716731.9055340476,-1961.4637086351904
-70442.96514615751,-1715532.3565612722,-1956.0146160497368
-70442.96514615751,-1715532.3565612722,-1956.0146160497368
-70322.07126630536,-1719624.3841580513,-1961.3202707250218
-70173.53164684336,-1715371.361792693,-1964.9573815947506
-70141.35025185924,-1714306.4383485017,-1966.8520567266592
-70101.6405970068,-1716675.3698006256,-1958.4074403940135
-70123.08784543992,-1713573.0538006807,-1958.7516765516104
-70123.08784543992,-1713573.0538006807,-1958.7516765516104
-69946.71521909499,-1723457.9694539334,-1978.0184060793442
-70093.61600143657,-1727551.4067922628,-1975.1519026627332
-70093.61600143657,-1727551.4067922628,-1975.1519026627332
-70093.61600143657,-1727551.4067922628,-1975.1519026627332
-70066.17609739478,-1721842.2426992161,-1971.415194683851
-69942.88626666486,-1716674.0826323486,-1969.33237187341
-69858.96895199356,-1713967.975019728,-1962.1428063714027
-69858.96895199356,-1713967.975019728,-1962.1428063714027
-69623.09766972298,-1707144.6162114444,-1947.4869286331702
-69599.07980095787,-1702141.6651624078,-1946.1390807892017
-69538.52336000667,-1699423.5944470975,-1947.1731185369733
-69538.52336000667,-1699423.5944470975,-1947.1731185369733
-69488.09562108263,-1699685.6506102986,-1939.5864063030838
-69542.39797541617,-1703286.990265643,-1946.9939722917798
-69968.72055448075,-1704743.8289569532,-1953.5686186749883
-69949.07889838281,-1706084.36018971,-1954.2273788762
-69949.07889838281,-1706084.36018971,-1954.2273788762
-69874.85602818336,-1710537.2500553764,-1959.348565882262
-70063.53251590341,-1719096.0676991532,-1963.5857509635998
-70022.98852604165,-1716978.424796575,-1963.8327313671114
-70082.28325764964,-1711583.6742797396,-1961.903332926205
-70079.9282885699,-1716165.4941518854,-1960.4699757731414
-70087.01199454666,-1717023.300717687,-1961.170277683853
-70161.107553004,-1718192.5066533163,-1967.1636946457365
-70207.60208824127,-1708882.0211359235,-1946.9246644422426
-70287.3827781148,-1713100.7304692182,-1952.7180022005757
-70287.3827781148,-1713100.7304692182,-1952.7180022005757
-70369.1026307398,-1709985.411417606,-1953.758751939524
-70292.34024823211,-1708559.4513968318,-1955.138104138527
-70246.80885668512,-1711741.2281580255,-1951.845677363458
-70246.80885668512,-1711741.2281580255,-1951.845677363458
-70246.80885668512,-1711741.2281580255,-1951.845677363458
-70275.3143379879,-1705231.1220657842,-1948.2553008245943
-70275.3143379879,-1705231.1220657842,-1948.2553008245943
-70275.3143379879,-1705231.1220657842,-1948.2553008245943
-70468.98746599982,-1708468.5783577163,-1951.9037704911118
-70468.98746599982,-1708468.5783577163,-1951.9037704911118
-70468.98746599982,-1708468.5783577163,-1951.9037704911118
-70510.7412629107,-1711146.5625031309,-1956.3653346216302
-70573.79028847573,-1707698.0752103745,-1954.4741178052468
-70662.27655780957,-1709987.7563772837,-1948.9836301963858
-70662.27655780957,-1709987.7563772837,-1948.9836301963858
-70662.27655780957,-1709987.7563772837,-1948.9836301963858
-70662.27655780957,-1709987.7563772837,-1948.9836301963858
-71040.13035175171,-1714922.1224170001,-1956.1340432876555
-71040.13035175171,-1714922.1224170001,-1956.1340432876555
-71083.27710201194,-1715504.3571538283,-1961.5890842898243
-71012.58923530282,-1716690.4180345647,-1958.5660866037229
-70934.08743212142,-1719761.263297855,-1957.4349887300402
-70832.8551385344,-1717944.6677492536,-1955.7627424830569
-70884.6179632993,-1712522.915119611,-1956.8596914786347
-71006.20418281517,-1708906.8928461466,-1953.0791284766876
-71006.20418281517,-1708906.8928461466,-1953.0791284766876
-71006.20418281517,-1708906.8928461466,-1953.0791284766876
-71005.03853032412,-1718408.151724432,-1957.1070701997123
-71005.03853032412,-1718408.151724432,-1957.1070701997123
-71079.83445830843,-1714669.1773455981,-1951.2157887375777
-71176.40297176961,-1719190.3926411888,-1958.7238516919142
-71176.40297176961,-1719190.3926411888,-1958.7238516919142
-71176.40297176961,-1719190.3926411888,-1958.7238516919142
-71176.40297176961,-1719190.3926411888,-1958.7238516919142
-71088.79315071233,-1719423.0829644094,-1955.4029774766009
-71077.33395862649,-1714311.1858024977,-1958.8752760421044
-71159.03873767598,-1714506.0545197423,-1957.140002894916
