Current_t_0,Power_t_0,Vibr. motor coupled_t_0
-39699.203805001605,1818866.0186125236,2708.4000856265347
3265.172050038523,1492431.895398849,2028.4105319916812
-37700.086094237166,891947.1160759282,1436.6675523219749
-37679.382146814,890381.8295893888,1436.9854166876476
20980.95375038501,65998.69081723243,-27.17191296844657
46191.69397087658,-279036.82922154886,-639.1178675188502
31984.074503024385,1894314.1691206475,2420.9031946873306
29413.921388187013,140123.76350628957,30.778101308704706
38759.32494497124,85257.47588658298,-92.69380446634415
40415.92177593123,596482.219969751,598.1240946504213
40415.92177593123,596482.219969751,598.1240946504213
18035.932167387837,439040.62753308413,506.1609211839381
-1339.8930714106593,-454350.02427676984,-613.9398112217507
-26189.076662782165,-512805.3950194593,-559.2006258163806
-26161.393912917712,-514610.81971263594,-556.8733548514033
4939.8859049693565,348275.2274227252,455.5629907122921
10550.665028608819,158772.51015441518,164.7140025631831
-15969.073128798753,-1705238.608693609,-2244.321022269194
-18474.493349184202,-1669725.086485442,-2182.018865734382
-23538.334024368967,-1808218.6808240337,-2348.2857983841695
-36920.26176157989,-1410412.418541321,-1719.6818069251863
-36932.641102049725,-1422967.806385132,-1736.0191679889388
-4558.30632798313,-1552873.1882956957,-2104.5968714352002
-6157.924136058768,-485384.69517988665,-626.4888694634687
6033.189176272172,-693795.8676139838,-982.1164991586601
-12158.399659576417,-381104.97053299175,-454.9692633380146
1319.0036402080116,574102.5224205892,790.0462873036955
-25656.043417672736,881750.5196361879,1351.762891832923
-13412.973443141696,-1478254.6184024136,-1947.8575437025843
8532.431367019377,-1331978.1622386423,-1871.0956654241215
8532.431367019377,-1331978.1622386423,-1871.0956654241215
-6592.172808114582,793704.2153807498,1125.1971865054475
6898.2192715053025,-127389.7212289591,-214.4605105098767
16210.42943445232,-177374.10861492815,-328.3897733308873
25047.467744516198,-197594.07841553187,-409.383047427471
17622.936717505396,-262239.131121339,-449.21784882720374
31015.03747235573,220961.4915046411,132.07491951989329
41772.50271945742,-354644.12534858804,-715.0066191902653
45642.67395719644,-956300.537920298,-1552.162431489254
28359.70925369782,197623.35882079293,112.07444154876872
23767.13148327716,-1583080.2283278115,-2290.797859758481
27856.905224050595,-1852834.273503945,-2687.7992594292737
-6137.40565173568,-209786.23927233607,-249.50682520959234
-3808.8373650798694,-285444.756431945,-366.4286702156577
10135.147841068836,760822.3111379392,986.7537935267642
17638.486954433316,164850.69393298964,130.74171051278992
18689.928359034322,1024653.9180941342,1303.1930650042561
1576.4030483839267,1047682.6517309528,1430.9590621140273
4324.388260807057,1031401.3857785651,1391.8822706348606
9314.729016562158,835456.5028037411,1093.963828634004
18751.133895710944,1237947.834629027,1593.2135977247817
16135.507743768423,936600.78879441,1200.0495452966152
-10497.530561161557,1658026.2498481886,2335.9646016645456
-10497.530561161557,1658026.2498481886,2335.9646016645456
-18383.498546301682,805197.0842936512,1213.4896847031216
-15157.107487959132,-1103483.6174679047,-1420.25368177097
-4988.58982483878,1126623.9271286381,1577.9411510895184
15339.491737738892,1679176.4295097238,2218.929797122946
15339.491737738892,1679176.4295097238,2218.929797122946
-7418.553070058985,1663611.000293248,2322.531095212514
-32303.23484175592,783004.3574584175,1253.997886713403
1959.8297085020847,799263.9680460413,1086.6113821477463
