Tº gas exit_t_1,Displac. %_t_2,CO2 sampling_t_4,Displac. %_t_1
50.39790333247808,95.22779217582755,-70.88249144049752,-78.25349680781369
95.30370811566934,76.91038331085194,-11.04279037015057,201.01540211617032
179.54100129472033,51.25210043883263,-93.78161596422353,97.59429877426723
13.627133989727525,-33.072172673308856,126.7176767292153,42.733908502121295
159.7101569972616,2.6055698257471036,-82.75869747764493,53.85359684904064
-45.892011670885395,-25.50698571286744,29.394450982407108,-84.08252294993443
100.48828018067769,5.139867315957748,-60.56376029393623,5.990394788821497
120.06172709599961,-39.7579010245106,-134.92296211498433,-59.263525391469265
55.39281376960599,-11.215120813584115,70.13613528756767,107.76417238071855
24.066489337834103,-33.64056178991261,-115.30272759592225,-91.0035955951542
110.08732263817296,-55.14075494990736,-126.31500149917345,30.930271921419177
110.08732263817296,-55.14075494990736,-126.31500149917345,30.930271921419177
-60.71351356802691,158.11427781167066,-60.48745514795499,-26.43006904114913
86.76013538942205,-49.310288585265425,-122.59216109517524,-95.57202558768759
-29.663521473401786,-86.19213946669223,39.718911456363415,-88.3018259657166
162.08938119765097,-111.83413396381519,30.526537018001278,19.1898687021271
11.925861221149347,85.62084881812437,4.678127256935106,56.83441193868258
102.10895336987014,-9.36435540340672,-8.019977391868444,10.125743213236
5.324076780381972,149.65216404253763,-62.698447403659685,-3.4125295954764283
27.76372334145451,-76.67927709425564,23.71105722361804,-91.9696889075936
66.43190782199315,106.94780075161495,-6.671328409749336,41.71820496460087
129.76181260922928,-9.25618960461064,-29.35265565547152,99.0185850593983
-8.48018633124802,-2.3519939588898797,-7.093799951246616,-99.50738288486924
168.3738684213191,7.231525229986083,-21.7488332131463,32.855204939615064
7.288631998900027,11.227214524227872,-16.344521447566223,-128.21011746353594
165.71785706009268,-9.570964534313184,-18.380359530445816,-5.950927003185377
41.17269333686991,-87.0063802912109,-114.59532272140923,62.13789383074088
-5.419348600422154,32.02274237692278,44.37896777916464,49.66463636898885
78.55998292354103,-25.217307617632507,-84.9326203694726,90.09624596038614
21.92470366789309,-5.380951458659553,28.353527393435087,-118.19350733945802
112.26678167841985,-23.087234545263396,33.148040131210365,110.09361489743219
50.20850168120634,51.371451188315156,-69.97790608727213,-133.71235462645194
113.7552124328131,-50.19247596747358,40.229274756016785,35.04119813963641
53.73843886323776,-54.92915437269636,42.90747522126725,-57.80563068662934
67.96013645732458,-86.80793997561095,-18.366892620640726,39.450236689108124
106.07810060848725,31.95698044484847,-143.27742508646193,-8.139485750839725
143.12086100865494,22.429818219711883,28.69486628437599,-0.959395365187727
68.41700709844211,21.383089494199723,-54.90550882129839,-128.1291453455697
-3.545190583920146,-71.91454123653469,-59.41596631105393,-39.02908737593606
85.18178520988117,-80.74053237211055,36.444608067536684,-55.58289420860494
33.93614172553211,68.46727150371393,69.66688593778571,-45.46237054865488
-11.401481542565325,17.871663180558983,-65.7975921829723,-61.704227816904805
50.27312152584628,-100.28482805219585,8.668273409832217,-73.36488860477596
