Oil level_t_3,Oil level_t_4,Oil level_t_5,Oil level_t_2
51.33349584066502,688.9979567942778,736.5340047580085,442.64832716617036
361.52918074782104,734.8762329843178,1569.178276667337,508.5650798252156
-404.1541904368737,146.2901511475485,1060.0258954026876,-64.62962133072139
709.4050353237751,682.4274316974335,625.7528628299663,426.7259089386478
648.2737362437913,180.4472221097426,784.0259542419533,688.0434307232817
980.4836219032078,532.9454752466465,-83.41654910206807,701.1514258142272
-510.6259450149531,-59.09011431222365,601.236684702959,-795.8538508095121
-472.64351238157434,301.3943427550242,586.8742606837874,-187.959025881838
17.646162418685094,231.27966842988383,862.8388845785134,-131.78273258461394
17.646162418685094,231.27966842988383,862.8388845785134,-131.78273258461394
-83.20515046881228,550.8678156839377,659.154486940566,152.38672785226734
60.792429375432704,284.21283934251875,1466.167396290251,132.85884606992283
593.0881162244758,185.44075511207234,600.5388755323492,-46.390940952050556
278.4124000531692,176.07669502914865,1509.6391283436317,710.6034860287145
736.7284719997706,387.788133935029,1570.4289386804091,356.4214464524706
134.65186245951992,547.755743781817,360.2307548520587,244.40674076921562
260.7723578289638,54.97120944429375,1134.0926522529498,69.19536274205632
413.2943813619648,437.54359150734615,1193.6887004343894,486.8519203458098
-6.749838806109167,152.9679779277551,248.83082673478603,-329.2226444370872
788.3390458070955,567.8748976904658,1312.5179514590213,1109.194111995375
1001.1545585384201,686.8164419595347,1509.4870262565687,993.8043861169688
-209.22629719702763,419.38509523873347,1037.2920598993505,70.80522474904524
888.857123080659,538.1364867335687,755.8030461654059,624.4579318111792
839.6877858991207,390.5419901463066,337.63797664311187,512.3800710023189
391.69704699664345,634.2469735132515,791.2908405340675,499.7183418989255
378.2813897444412,107.45445475385583,613.9816586491352,24.744022383089217
-382.543724101472,2.311920960606386,1715.7937745281238,298.2034096273673
184.7513393028199,1034.4634577749835,207.72206259938798,-131.00860607868225
459.3452431315633,31.85058051238275,373.9031844533606,172.63292759469755
-64.83642209633652,414.53909474773184,1184.7463159999497,304.89746276018604
292.2354633611318,441.9479452508373,1526.0178962296814,-667.5343625196074
