Current_t_4,Power_t_4,Vibr. motor coupled_t_4
21289.59404467626,1751151.2272719804,2288.2899242415733
-12778.95526726078,2010798.884953654,2831.632391048878
24058.704302351616,1589036.6556969066,2044.537959053762
4619.130600453024,1228646.6193703478,1667.8621136371287
-25349.734336820595,993117.7400130894,1504.4494661830781
-31409.765772744675,790092.7511832148,1259.181107522777
-15947.63271356893,398255.7736494366,634.1557535211338
8804.624918254336,-851483.7806881514,-1210.9568070763316
-17021.507379845298,188556.84846040342,358.8387365356941
-10673.418878483142,800820.2836477618,1156.4881547461546
20706.501427711202,808107.6394925165,994.206101327273
-7937.148482734137,909199.2310360378,1295.0332813766074
-31211.54873459298,363210.0296501602,668.8809728223561
607.1565431347148,-182665.64754177167,-245.9799857543491
21910.703230903262,2380517.9341716687,3148.198604396079
24124.113806322777,2433725.4009001385,3201.959843428
-36908.2542860757,2684012.5819706293,3884.7034054176092
-29840.667299517518,2455192.294547243,3529.1320438478347
6163.633044208295,2296757.275509463,3116.4627381094856
19877.622101171924,1422332.398139558,1842.6198055975847
-16576.451578758886,-2221948.0798295634,-2951.1501851018074
-16218.852429410526,-2209099.1256742827,-2935.930071073367
-37755.02142608701,-1825783.9477156124,-2287.1479325089053
55230.95075973695,-1634079.7545733145,-2543.3567077340235
45453.37864320494,-1432863.4165130744,-2213.8179772374283
46251.967329483545,-1429567.3418548813,-2213.9155640563836
23785.67925509002,-1691589.5921414793,-2442.4434069766344
23793.333748387333,-1690984.9129798342,-2441.419011662127
34263.11714031749,-1387004.2178574377,-2081.6198073172995
-23012.285041213567,-1259353.5119575518,-1586.6333640000219
16175.63603091457,-2264056.7940401365,-3184.6161891935544
-38245.37064980814,-2732878.4765974423,-3529.9979607025152
-40327.00708270225,-3441945.261950892,-4488.763114601558
21608.11226721213,-967562.5229716152,-1442.2201914367956
21608.11226721213,-967562.5229716152,-1442.2201914367956
18845.43227474372,-763094.710480339,-1145.6701813153152
7757.411629222334,-87459.08830120538,-159.0773867554483
-15452.689151333223,-493608.2424585617,-588.0988642131922
-22944.760869699887,1648681.6210045405,2388.4672500695006
-10514.265912872179,1258436.2428032174,1784.914024817246
-8651.396998871496,1048159.9645994757,1489.377901354893
6942.178741268657,1241390.7209236978,1669.4498173389852
4079.9875614905727,-1485872.423264694,-2055.7123511905206
3564.2205977533195,-1346286.3025586994,-1856.6050580799385
-16091.577910466578,1228685.3739961463,1769.011792088392
-13228.033252430901,1313888.5973478197,1875.4743757911972
-10623.517127618357,-382092.6569719632,-463.6553437243666
-10623.517127618357,-382092.6569719632,-463.6553437243666
