Measured speed_t_3,Gas pressure diff._t_4,CO sampling_t_5,Gas pressure diff._t_3
198289.55187678614,1.8400076460433856,406.90399483502483,-128.8837167304238
121937.73078901666,1.0668064912960806,187.52637097126834,-77.74868457011596
-35673.35319565101,-1.8649712184459721,636.0598298812296,22.749088991089575
-39084.76110109589,0.7550303880503219,1220.4776162060625,24.071575933167846
-77497.76629720254,-3.50348170363649,565.8121353137777,49.07437422193806
265207.32392842614,1.163808897762622,-40.55789581294265,-169.22998031250958
196148.8669407363,-0.23412336250767307,1891.3867821748188,-135.158984354797
87621.32842196368,0.19254035234777783,2812.940459854253,-67.61339754770131
82930.92590729581,-0.05470141655149577,3089.169441609072,-70.0405795115499
-85823.40354138157,0.07739148177045974,2107.3849528684345,45.56251863899215
25096.33549478763,2.055157184831139,-439.5734331665574,-10.003571835585376
-110997.00419470195,0.794605400615673,-41.52112419207309,73.60640344724314
-104312.93831650614,-0.5177091279866056,-1046.7482336313533,71.63664824222242
-13922.841310432654,0.17083050691098275,-485.57293951648654,15.491406753289729
-46816.58501979667,-0.36257213412201844,-1595.3454753462772,38.80787098983429
51720.395977760745,0.5031540994264937,1652.816764937425,-37.579891797007846
-6185.5539094781225,-1.7974558416460396,-1025.9144888103556,12.985852140492288
-65378.451787838494,-1.7071024717698025,3448.538070343095,24.854376306841175
-75904.22536500193,-1.7137319176910681,1793.4327489542761,40.28892096190146
-16133.845849084426,-1.985704585651862,-1557.7737658818012,19.439491046156874
-107065.21248394347,-0.9790351052353257,182.77031070127143,72.00650787311892
-59763.80748460635,-1.5109214656052479,-1385.3266076531263,48.724352497156424
-72198.75237452447,-0.8463493646486198,1269.4069988199299,39.25189365175462
26550.72162948354,4.0998980458231795,-776.6273095581589,-11.006880170601963
-95341.12607463617,1.6392674785100914,140.56859401382374,60.28701699150837
1817.790197876141,3.5012225997440307,1034.1980408249838,-3.5894551875173257
97759.31902579142,1.5099404770459954,-981.8453221363562,-55.580284377585656
147817.18750665543,3.9642925744598836,-1529.980751686303,-85.56427862074996
254635.63497844947,3.1843905458124815,-1793.8265299818936,-149.57322514798574
231589.0666202482,2.3093146678470537,1937.9924354322015,-159.3249272768018
231914.0220352258,2.301008116347943,1853.6317666473346,-159.44595170677525
352101.1513541479,1.61713445820391,1119.982947371681,-225.80155995052584
277595.18157358066,1.539155632647991,538.7273724555025,-179.85401363971533
-224079.3451507217,-1.5607144877452468,310.720301981492,145.084383513171
245911.73754020798,2.3025224719755566,-202.4685327057858,-157.0831517851261
139488.4174259451,0.45596082572554525,2856.5167721880516,-102.44080567471799
246909.55654193927,1.7444676877163272,2443.7749305404363,-168.47533958065975
289342.46133390104,1.7731626839731465,1824.1770048924006,-194.8992149483533
-238413.17748446434,1.780336773243338,-1049.9385232552227,161.9796255259216
227003.43212929604,1.1750409507726527,-2866.8110082063854,-125.64867099027464
165206.71317095964,0.6685770649377515,-748.5881337369796,-101.31702739812641
202619.48836593694,0.8193371537172291,-121.66035240290881,-129.0848303906771
-347231.9532645253,-1.8542738516142985,-144.04752315881052,225.4251244746828
-380509.95394402795,-1.5384060345544475,-526.0983886242503,248.1942895138073
-274954.3331026614,-0.7863293562441686,970.8967867434045,175.19228461626605
-289832.3922297749,1.2272685312422682,-23.28330018065326,189.2542339405454
-236633.21889155518,1.7524404045966255,-591.7821918766944,156.54119432630839
188697.09665104287,0.43358846508801085,22.412728677009554,-118.93011532552428
19440.13665748418,0.6181118631682646,-869.3707680981283,-8.789542671544426
117854.12664676654,2.3579872644669058,-214.6584075942399,-72.56276061662363
293422.7101338302,1.4723294690477113,-2077.8313801285612,-171.36742859690978
-124375.94277648973,1.711240608860249,-535.2884374796994,82.53943619536555
148833.35870664802,-0.27061137168308425,507.7934943125951,-97.94961801187868
-39432.46956262787,0.5875377045758986,2684.5125257625973,12.918305139902932
-193256.9177122247,-0.6561923808005614,-1693.5451205611585,134.53048286669437
-109447.44517273575,-1.2732491808598598,-1919.1276814534071,84.30109401745433
-35263.5133928063,-1.1577908874838065,-2829.7579766635204,37.36987707035198
73002.63265148037,1.9744246573965896,-1123.5557708325673,-37.214567357783345
-8887.679829867398,2.7271905208147236,279.93826660028213,9.6001132621885
-240225.19196582332,0.23549555722147722,124.20413791276036,154.76489681132819
166928.4117111077,2.751859848484269,-260.6177628639436,-103.49931008722498
54561.797505976625,0.03215628939511207,-640.5195580779083,-32.91822410634136
-12010.475724693168,1.8634453009504284,-2109.148640471603,21.774074306006852
35072.069854415866,1.3492255087031526,-3845.459957271643,-0.2705356810983093
-63489.75071047069,2.3764104971781954,-4320.7188676704445,66.07204357417677
22548.08084018745,0.3908158268335379,1192.301712374734,-17.593402190497972
-204762.89304081316,1.3631244544769134,2444.182237312146,121.96246103261238
-40538.67727211018,0.657005152440386,-414.6353548245795,27.832037002328
10354.106268376621,-0.11303344130883791,-150.18519704313502,-3.3800522440876186
-131166.78933473484,0.5057337598130903,-130.41789184376265,84.90999864560999
50105.82805359875,-0.3759469366256252,571.9844871777273,-31.76310260643477
50105.82805359875,-0.3759469366256252,571.9844871777273,-31.76310260643477
-34658.48986712456,1.7715847764161106,699.864577096292,19.79150596105576
87265.76837825774,1.338914209705973,523.3351836407386,-56.042216851320376
169683.7293495525,5.969017678367712,980.7308234759163,-113.69404169996083
170752.92407406564,5.973691637468108,995.1718416547922,-112.57071250212614
-458377.35547457414,1.9399818752939681,-1633.1000903169609,307.9075934013138
