Oil level_t_1,Oil level_t_2,Oil level_t_3,Oil level_t_4,Oil level_t_5,Oil level_t_0
800.3913133326339,480.53450016507946,659.7440493931448,-283.5522287929171,470.4960013718428,67.69834852303882
390.742756362543,279.2968810305566,-272.7911134422708,767.1622365036098,812.3565379967042,26.14657153256345
-94.77862961630811,87.84474883099185,507.19255119234765,-101.42695613901114,927.8744114609386,497.604696227344
386.67074298872456,299.03574353962443,-211.3404697973765,743.614540345769,728.0715650703974,276.3220544989934
735.8459377571712,534.4574926529812,-836.3790056616533,396.84485625224414,1358.5182439936398,34.810695396168654
370.55896084288486,363.59106656602773,-664.1920000664932,807.5103020212182,1340.4349670020088,205.95207300322699
126.83594375669833,134.000777081365,1197.1303512856393,-51.16319452199346,534.4032068668004,5.442411186695551
334.4279848233929,904.8476684355203,942.9811109932039,111.51342053325678,689.851529628939,749.634570842145
218.19753704033593,-476.18637060035064,-25.49102905589757,807.8370422553074,951.9429834266248,-92.01001645938754
251.55563209574757,195.73954171557557,484.41991319422607,144.95756405896583,924.6363574135393,394.8836281553888
155.40215936680272,229.0439869983473,145.41109794010595,497.86299290868476,498.49700476755856,-343.015768640519
110.49094229177328,202.69636496212996,118.8656183326348,125.4676332511994,-150.54802840758884,258.3726749236621
371.64926211839196,288.6936763315708,396.77539998985145,669.59957355689,1718.795868180403,250.41306759487153
97.67571187705289,-122.94451125277124,899.0605497607055,4.025303306255012,494.4054326031596,365.946634118601
97.67571187705289,-122.94451125277124,899.0605497607055,4.025303306255012,494.4054326031596,365.946634118601
45.42133019677837,418.48854917884876,-661.2568929816457,697.8060823658736,1072.1337731991703,-182.13789797942013
244.94583157196112,38.595289626788826,552.2218077278151,145.15063410631058,1209.0339962960516,718.7580112432612
-66.10454098267155,683.2671143726146,422.89542152931836,1623.1772156503434,749.0082332943851,2.709908981811168
523.5813995518478,-148.56156341121925,394.1405703298626,460.10107661463803,678.3954554555338,734.8731390809173
-29.72863273903758,530.8009262097313,148.28836224919098,755.394185575606,1362.9582592302438,-4.762744268940992
