Measured speed_t_3,Displac. %_t_3,Gas pressure entry_t_4,Gas pressure entry_t_3
-2274.6491176549534,15.295391464677785,-493930.303940382,104240.67164176307
107821.86588584763,-51.48658538321906,-178449.30906553738,366244.1078307509
-139155.29234609733,-68.5725471169801,-408991.4143346144,-602871.7047280398
-57169.36480383633,-119.80239970888084,81526.66753509978,667871.0381546813
76579.99052907921,76.77283504335836,-41077.52838408726,209728.7227194279
-36301.35523971922,28.04189452240248,103214.54122632935,-1066478.4679191771
-50679.8168987634,-73.1893136327878,412313.50737942744,-413629.21195441665
-9440.291005603402,54.363840593954,-113317.28147269215,-1212284.1414947945
116909.14449689288,-21.600335713430447,112770.78212456522,393623.5387589693
-365017.3175024596,2.792295621105911,201453.3809852205,417169.50742651446
-195772.1364183306,-38.35914247999287,1152521.5368040192,921375.2326002414
-195772.1364183306,-38.35914247999287,1152521.5368040192,921375.2326002414
-43116.677731835516,-26.43263712470165,1183522.796590666,1410131.291312764
28586.26267077384,75.60721027721846,-108611.40170902736,-498063.6412666417
161063.03957723954,10.382870330209897,-1653165.5478046192,-1439176.8691914096
5987.430234492473,-70.52115538246652,-551215.0286584599,-141340.67756099976
-35778.53848731739,86.96347218322423,547131.2399140722,596607.9595153257
115171.52414317158,-24.63917136088834,-1877846.1172616866,-1069443.7958862095
149601.5760859063,-44.082828709694084,1319295.224915308,827354.5374588906
42960.78669237386,28.206427583499522,-318251.20814614196,-749517.291902052
56994.16986251515,-47.45172825748729,781151.2980630706,1081374.8285386455
199970.34665339944,-22.770343364030992,-91787.25505398563,-594736.0090671261
-84530.55915250257,-2.918989581563265,429421.2154047913,802089.6520475118
-13246.970754979295,-5.903983668469719,513378.4203772067,367953.20258314925
-190824.42891744155,53.37723694493039,848789.5855018373,1295671.3642162317
-138787.31900456056,-18.773000387038547,379916.5701735454,285732.761762246
61893.23768837031,-131.0020578103442,-657131.7076388438,-995929.8937979618
30179.164967696473,60.118687032971536,-888955.3953682764,-1371399.4422847638
12262.728063395181,-14.932271587520205,-823458.0457940977,-1594147.9028187057
313140.0419467882,-54.36791171531022,-595716.55942675,-488451.14411756815
-270818.51850205025,61.22391989895727,567514.6783527929,-288237.03627233003
-50059.94236559537,-32.650470235487425,813233.9758509094,1725783.6097404025
-350117.3694026977,47.6172417360728,-584223.71035114,-742811.4189233605
159005.38759160062,-34.74662820431639,-678935.5425024778,-198431.61881043858
151463.341833675,-80.13126677035186,481358.667401032,-225610.34655629634
21366.361749818636,1.1960255224614826,-531889.4690707756,-210514.44164529745
45595.28830111596,8.498235509645562,-116762.48489211983,-499823.99262182077
-150864.70901157116,-12.818943743969925,-72644.81069902261,378730.188805849
-22624.288631067568,54.57986946679904,461169.927451949,-164492.45977768739
-22624.288631067568,54.57986946679904,461169.927451949,-164492.45977768739
-62203.65865005011,80.08801589994627,323180.53838094644,1139053.5351498527
-73363.26121921005,-57.79700486397402,492315.2527971795,-166788.01375205826
50767.416294250404,39.98134129949754,-48990.51989229029,189319.86290338327
-312351.39187856944,93.16110285940321,180696.92679042695,246266.54532841372
330085.88709083793,-156.43300254868893,-38265.32040112178,-420138.84754625754
-159804.91858932853,179.8767180459179,-1288423.1543231523,-117687.20671188761
-234281.79410016135,70.29532661611064,-425964.6967013051,79291.02757697547
-45417.26435408267,49.32835167306331,352345.50444993505,149676.74730456132
-49169.86486033501,-122.94944022183807,510068.8711237091,243249.5544654542
-273199.0555453386,-131.3760091984218,248632.2757281576,-255302.35595489474
-139144.82620465092,-105.19582888837508,640695.1112880232,-357694.95004334464
10920.585401884666,36.89474501424465,287896.14712827734,1369031.2660127515
78179.11776258734,-11.021216834256194,-800399.2555355793,-487742.1715765664
78179.11776258734,-11.021216834256194,-800399.2555355793,-487742.1715765664
-446882.32795329514,-31.296146726875662,-714091.4318079659,-187342.14466551458
101962.08236377069,70.5588958753687,-483924.4228442712,-334200.3583688138
-132141.96484006353,3.874996403776578,-184265.01679256506,-248061.64337711368
-207026.87740893682,-123.76110562853809,-923510.9614908127,-535620.5182125566
-215728.12832437537,-103.14832035937395,-514801.7685028185,80851.65041918331
295824.40193720657,78.28355659402706,-301126.0033862023,-775425.2484826325
157352.30007750224,39.224481837717406,-570596.4745782719,-941937.0801710482
-11004.55417002218,-90.70881390956774,477592.3525872455,603482.044457293
174802.87830423762,-96.56941080610383,1221406.9250425939,26720.93053991918
273141.11539737775,54.0794816606452,530083.5715094637,1023445.9087494903
-326444.1869165328,-90.57484683889166,953734.9334228123,544654.5756685942
149586.7452576094,-23.54749869437216,748080.2976224519,1505103.9620533546
-169458.99074821477,74.23993264495826,-430618.6470208001,-1269994.8895443757
-169458.99074821477,74.23993264495826,-430618.6470208001,-1269994.8895443757
80040.2453887793,65.97836873871466,-1365851.415403918,-380160.97504733026
