Tº E stator_t_2,Measured speed_t_2,Tº motor coupled_t_2
-2.675798146824136,-337676.1198477841,-938.4910507138354
-0.8276441003804312,326813.34625791,943.4706719936428
-1.9176179202219437,-1323.1964015974231,-3.6962875964922333
0.6338898363099856,-48823.564168438075,-135.80826904166935
-0.35406482396707223,46206.19230941712,133.63565010830024
-0.8863093264825933,-41684.27405235076,-117.31233249587538
-0.4778053631237387,-34041.194671291894,-80.40137114022603
0.4162219092824365,-97821.30514154762,-266.5040063978718
-2.192114151450071,65477.929396174506,180.3115954352123
-2.091037488675274,60756.365539265804,188.12701333210495
-1.7159716923041721,65782.5375665908,203.6787856592612
-1.6319871651663802,20773.01682829062,61.69720590076351
-1.6335194890024125,-44546.05266384849,-107.9809147256272
-1.058446180036235,-13473.573015072809,-33.91737848097017
-0.36188134809753925,-267008.95756397536,-748.6620357329244
-0.31597571918699685,96605.10663218459,271.64745445801174
-0.34783116652725676,109378.11204309652,316.6821759406338
-2.8298719064270266,190852.8031668288,532.1683434110656
-2.845712168559766,231224.47062276545,661.9143052263225
-2.8972488217543724,60892.5077659952,182.29163304746112
-1.176535697154463,-176355.21354225368,-482.249535498409
-0.8468321466407379,-458721.9284101461,-1286.39999890036
-1.6979117734965599,-33517.53934684534,-93.21185388168853
-0.6691479265290916,-232945.31156481462,-656.550887201505
-1.1781218807739005,-40001.128091298764,-104.83081052724795
-1.1781218807739005,-40001.128091298764,-104.83081052724795
-0.8801389221576228,-56836.91804063435,-164.9948277746982
-0.6918677691746572,-147610.57427888783,-399.5498937121787
-1.4664357411320659,216125.39153021006,609.7355807027203
-0.48591437807619886,165491.8686979709,486.1281096372497
-0.47557302122354506,166580.49289877497,493.57132122376964
-0.41107821089878255,-6957.049990987219,-14.825269184362812
-1.1531450665004284,29652.907978499068,96.95569595400474
-0.4682161340395517,47964.76165884963,152.5442576506627
-1.0253419299290563,38539.1080591485,130.3378416242755
-1.0326985796642527,36899.69675400188,127.17171540520718
-0.6123510253353657,-152833.3207804769,-426.16081614317585
