O2 sampling_t_1,Displac. %_t_1,Gas pressure diff._t_2,CO sampling_t_2,Displac. %_t_2,CO sampling_t_1
97.91819756172455,53.63018920006975,2.129413852453601,232.41978833357035,-18.33314310749661,-62.627922359072635
2.638810891665612,-53.49807970227816,1.2591360147455797,-153.58794511136833,11.412528918479804,236.79059937747712
123.10781182821644,19.448292078826967,1.1992501316917292,638.3505929266807,-21.27087361699673,135.0576293356333
47.11566654412641,131.33328506570848,2.3862474758462744,403.6930814858009,22.997228570879265,249.46362288587272
55.41030472692287,-109.37571539121025,0.7912152976117418,-393.8215586203646,-87.13463937529022,-248.69571409157624
110.29475372451239,76.93440491035183,3.750442637275516,-55.06380011047807,40.83931366668221,-169.82172669205818
42.215322330115306,20.43713469323866,-1.5073452305955857,-295.31278303047276,-36.83976322459642,256.0047988515861
78.64033884614574,-14.900722501798512,7.178620449629504,214.91228448035378,29.39022238235396,-455.5459234982208
61.98806740944456,46.12281500297961,2.6951718548084207,34.88178483308849,-26.520895727307384,-224.8582055519993
61.98806740944456,46.12281500297961,2.6951718548084207,34.88178483308849,-26.520895727307384,-224.8582055519993
99.06337473948551,-51.49630062132949,-0.5777201873614546,-143.18060083199668,49.09501756601869,-115.62510204895128
66.56492867201707,77.28399082640792,3.7211798309915203,-211.39696026897823,26.542372956309947,-344.4662510821324
66.56492867201707,77.28399082640792,3.7211798309915203,-211.39696026897823,26.542372956309947,-344.4662510821324
66.56492867201707,77.28399082640792,3.7211798309915203,-211.39696026897823,26.542372956309947,-344.4662510821324
30.428789321535362,-66.0051826221617,3.7076627358931793,-369.91202848760173,27.35667355862672,-29.102813975699007
96.96476931011846,44.52685054112561,-0.4652429010581046,523.9476699057299,-3.765501363002315,395.10340560169334
46.19714890345512,-1.760732224101055,2.784694789615159,208.3601982059502,-12.269867059005445,615.6692150660385
83.54526199597015,-30.836818566473468,0.02886235227681283,-112.03522927648145,78.69631809629203,-403.41400665029516
49.82996527222784,11.297964356805416,3.2430004408858144,-70.50603576751053,-100.60945257587883,181.56821370923444
71.42851439737203,-21.170319648935546,0.861394786745461,229.43548814971695,86.43575778591155,-148.70026274283163
116.66868285063346,-68.2849024591362,2.2015334334884287,-220.64961567069366,-31.064924216633315,299.2295312801297
41.21852157915021,26.23340358709337,1.1886817077289529,193.97403442546326,-39.18575401067844,-6.481722526896874
71.25699448128796,88.30604204404166,1.9561778911604946,-50.10819753447197,-0.5871732412931117,-253.86264775050117
54.69310731694414,-14.814676714984586,1.1927563476648189,-176.39675220808348,26.716589387193768,-239.49282815783593
54.69310731694414,-14.814676714984586,1.1927563476648189,-176.39675220808348,26.716589387193768,-239.49282815783593
57.38624805149723,-122.77728907803032,1.6204804753502253,-487.48904762281575,22.153237780019744,-93.44806167302863
57.699365376538104,-93.76117644191635,2.1002485003633686,-582.8174902345314,6.372902575192171,-150.17000610532142
68.56523357578047,-34.207898517292996,2.3894135961875644,-399.11561107186816,77.91225085864816,55.4678261458229
74.46393140361931,-7.214126420001534,-1.271244615452827,-731.3618290345596,-39.53940649912738,-100.50805008875881
67.96810692617812,-16.31045315436975,2.6467286822206333,-194.38914307124105,-77.55096261787145,-385.74028595656114
57.57064651357388,100.43447268802844,0.26070608773713055,-319.9552039020478,-8.147383922396813,-327.49590912469563
59.355342021969314,30.456306501061988,1.5153682519433993,378.2331601320397,-22.94781031684058,-100.68695390571676
70.52894843908386,-16.22070071722159,2.38913473850194,249.49490931163936,153.36237303084138,350.7752920795464
51.06026649643705,31.737015063500017,3.5854775966243624,604.0572595297994,-84.18986579616356,200.14659490060117
82.24880772570876,30.137813105622385,0.634938456493797,-248.0669960048989,-83.85480976158826,-377.4626282424507
47.77765489913058,-49.73047271649397,1.3589716475144464,400.7363886839746,42.60539593337237,585.5630677935808
76.82733341516702,105.9872653294378,0.580228865214024,163.60129381274982,-96.78340638407056,31.65545289649191
14.287218043631277,142.743674370836,0.5810790717550359,390.48849330916835,-128.51382641081372,197.51142952151602
84.4537940286209,17.35963193729613,1.248294997617363,115.75406901591822,-133.24645417193344,326.2002112353805
42.48615258497371,3.037001250579772,3.9529718530471065,375.9236693082093,-54.668213440512005,470.3991652281273
46.86047989431041,47.51624041512505,1.4835778539185682,108.65909836434184,-36.88164933509084,14.901744664838475
102.39443767183315,-78.32108952887343,0.7213504284207235,-257.80838250168165,-34.08937515676803,-7.509030060576492
19.167656995574816,64.48809277988464,6.185525026057037,-1.1079344448125994,59.392382525654746,-120.29954141798235
90.52918942695861,33.65769671797676,7.041258081659616,27.115716907574967,111.14279342970255,-351.72327952618735
