Power_t_3,Measured speed_t_3
664974.9700225523,459422.85222928406
883706.9226459273,426826.78809162905
1106259.3753216525,401432.88686749723
781408.4966411449,385687.50183429243
765148.2205075049,436948.07840270695
1005684.3250321737,375125.6952659527
1410296.061088175,435270.5306637285
980196.3067436235,399042.88035218895
679669.6465117172,538669.050912152
1114979.3663304937,612954.3570218971
1221806.5866870875,553721.757484654
1258004.7095521276,279865.17551988846
704749.2262740458,611582.212107158
694789.0401649416,473104.89137751714
694789.0401649416,473104.89137751714
-1768979.0455062198,-350002.6554799144
-516283.36133089405,-335348.6756412047
-1431283.9000697115,-484940.92102371156
-1944588.4649367135,-776945.290572568
-1944588.4649367135,-776945.290572568
-1826084.1276606417,-847358.6094143621
-890113.0130546473,-352682.0847927111
-478528.93703242106,-248746.71618485643
-1567207.8341778908,-452095.18534933333
692435.3517755105,376252.6636603155
692435.3517755105,376252.6636603155
769514.4127245515,345998.4930740779
-701677.0409338549,-206917.03866029886
-986349.1999503658,-181.5556697474094
-733576.1003146375,-185962.26741339357
-1253595.5233961542,-350804.3042931755
-807979.7147002141,-386291.3578945291
360664.96391023084,178284.13108997553
-1121521.5729577057,-52752.656026653145
-1017697.5759462146,-282283.0582083773
-1529138.7439426135,-525715.3357837795
1593496.73177764,575579.7237383164
-21345.425446260488,195564.17034429443
104108.12578509095,225700.2185004673
907048.3369845883,254028.86230454518
1494634.5260617074,640922.7556633502
1494634.5260617074,640922.7556633502
1319592.7944652385,730994.9280014648
2220166.5723090405,1030857.1648227524
262696.8340838298,-17260.746389895736
-1150394.198812934,-503553.5712927863
-876212.7848215082,-395496.92809029977
-306462.00962554634,-4001.6688879252615
-483573.6686142645,-290052.3270107849
-483573.6686142645,-290052.3270107849
-294009.22666867846,-112581.78728849265
474518.283494215,12351.281283066259
713393.4636187914,88520.48316014421
-1059660.0095364826,-890339.3387999218
-2487613.7526611113,-354429.3531989114
-904370.931335666,-648853.9560335662
-1648366.7794147623,-552206.6242710609
-2150095.5836490784,-936877.0618715576
-1212708.7924411308,-718563.2721781809
-1536538.9790117042,-684578.6018354847
-1944043.3196308454,-729206.1326630603
-2477399.66333997,-563326.6287691812
-2477399.66333997,-563326.6287691812
-1675805.6659864006,-692941.9331473566
-887413.7768267543,-427987.49060200993
472766.2112984778,343944.8916312194
969180.0306100318,279491.5951239045
-1335007.285979221,-330863.23982520716
-1276926.7814725898,-827801.5672335767
-714695.7690208871,17708.179935682856
-714695.7690208871,17708.179935682856
-714695.7690208871,17708.179935682856
149696.61048258617,-161220.8109880843
505681.52758904756,-59888.044742977596
-345341.5100238873,41496.677159873696
1851111.810425516,796696.3876741237
-144979.04518968554,78603.65065159093
-144979.04518968554,78603.65065159093
1031003.7095592816,624593.3003919073
869909.2157299137,561881.3759551499
772331.8397276701,531655.7029277016
1339096.8542294775,439198.7544821778
1527441.9873109083,415384.4346151415
985212.4887138243,418655.6935038835
843925.7601602314,417758.7978367321
1367058.4424459154,354768.99285904894
250091.6561403675,-31162.19082407886
1117675.1228108932,539948.8625984741
1095026.3451145948,139763.88046216156
717428.8027969324,148262.25062128453
771329.8890325472,597508.5644370783
-1349180.3744701599,-277254.06544583035
-1537966.1749603553,-479642.07933612
-1563743.2110497993,-505368.29063840304
-1505090.6612217866,-508154.75716586394
-1462327.4192168629,-697874.3450344391
-1462327.4192168629,-697874.3450344391
-1315592.7685460984,-586568.2212306373
-1776745.2930603395,-509752.99539086345
1077114.887482422,480919.2877923744
1637270.8096094378,363925.3915751828
2134587.234680683,264181.78111730854
-870468.7755206947,101474.60448843846
-476588.88162448973,60498.864833925734
446810.41860925395,335590.8947162322
21835.77313391224,150799.5445009932
-233600.18005732316,-201999.44385211443
-911241.7451428025,-256065.55881395898
82834.46924452434,-40684.792587671574
-318456.0070975224,-57259.0582492875
417434.22920591745,226558.7355020047
-539424.5881421515,-278607.0576441232
-1113969.9510263668,-122883.78841586906
-1431922.3698095893,-222234.91814626637
-1399236.194465865,-687355.3746093499
-1513590.1153165638,-623504.8489136763
988562.0311950528,582180.5239124326
461686.94094769494,271797.55950673565
595302.0744984627,281972.5978841684
-1056803.5946348403,-486868.0392456577
1309740.2394179145,429640.94292354374
1309740.2394179145,429640.94292354374
644828.4433000955,814220.4780884495
727209.4896449486,719931.730088382
805414.2791885003,533286.6209073244
705448.2603164314,69582.0053342669
332516.6459484834,104244.34990331404
332516.6459484834,104244.34990331404
-545073.2822972653,-409368.0631497087
-848850.8977313119,-279935.65138152556
-1768154.6182296134,-697322.7134257079
-1007808.8513599788,-478529.52900763554
-1007808.8513599788,-478529.52900763554
649227.156186784,485421.75449094374
890100.2438234368,119609.06976635009
-32373.648668116133,191727.63190437487
11867.095968585767,-7417.757037885138
52340.67595404949,-42143.272199995816
604389.2326475877,169323.57133338047
636647.8600505305,-22982.80888958648
-776549.9865899166,-386771.54105578637
424724.6929104759,290079.51292442286
1059784.242897874,366559.30182076566
1490178.4487448686,496992.60739229154
-31641.137337099703,-328336.39396374684
-67763.39155078807,-154533.33249077588
-491271.1323990527,-102288.56737967936
-27178.16636917062,-76007.7276011939
1738830.7372975375,560363.2773891172
1558368.125969701,376150.6623470613
1361413.4383391459,404966.53090891225
793438.4230318102,345251.1159933825
768308.868858159,222607.29147934145
297666.98673572025,154540.03038785118
1119028.5209902618,277190.24094547797
1606756.8891069698,668096.4781178806
-976809.8504347135,-355344.01192625146
1260956.928304983,580601.4659079259
480116.09950343426,342935.62436785613
-189668.06917711592,-84176.16067410598
-189668.06917711592,-84176.16067410598
-73979.17488735041,48960.47176032752
984142.7961362035,628941.0589443634
873634.7321663504,905645.8877058525
-1075623.8363833218,-80088.84314871323
-1242638.126008089,-812621.8878091419
-256117.43999406882,-279349.4736549957
