Measured speed_t_4,Displac. %_t_4,Gas pressure entry_t_5,Gas pressure entry_t_4
399681.6567691691,16.79350317458832,1805311.117178442,-75058.37209877447
-545594.5413253317,-42.001678446196266,173746.59645213815,-403390.4176410241
456496.80040829553,-41.83291413293715,1602028.0867355145,-646606.5995348706
271825.9567082931,66.23177295757438,-310756.542845455,483551.14527259814
-82288.78441644195,-50.572236478595634,-586876.8742205115,-1162670.4055067068
103037.0206083829,-127.37206433871908,284581.9448017389,1081048.3069090687
-166064.86981022908,-8.889363718822082,-282448.52989724843,-774393.2413777995
66151.43046849477,88.75704158344881,1101713.4166107147,-430357.84874251345
-302951.59786136576,-58.89573764395656,-233244.93215900857,211297.46429581894
-273203.3219893421,-59.463147120851545,-706949.8975122918,-281109.92817030003
364853.49151842983,103.576751569898,-267440.6890386601,-766937.642632918
-137993.69708701654,-102.26502378653471,-243186.73778322397,-5149.2431085172575
60742.294940734224,115.41218443813477,398357.8015631833,-28288.36587600119
60742.294940734224,115.41218443813477,398357.8015631833,-28288.36587600119
-157133.31135886014,81.72210408475294,436693.4496341131,365501.6282824287
92492.11222696946,-133.1482722359503,-536628.7629350306,-1451335.751413677
-210540.48911586468,109.30364501317943,273094.17191175936,364566.9658884546
-203056.19351239168,113.03421882833113,670081.4678719976,396793.7115761485
-159828.97274130888,117.14586419966182,-190245.31873766088,-622167.1261964735
-100402.78871294888,-71.04295886944954,-689202.3001406428,135338.56374190247
-143585.28263323795,96.54760820756651,413906.8678723135,306276.1036219036
-49467.08097351069,-119.77922716348084,-179262.57509277546,-700774.5677734322
-382402.2262478863,51.75432228343804,-165830.77662686945,475998.65483768145
332470.0998184809,-26.60753764415769,543010.3330169569,335466.2445205817
185043.60678384223,8.061562326550888,8856.49262133846,342499.4846269411
270886.8257127765,-87.11083035962915,-1172871.1714486356,-62534.4484909529
-54999.964253246086,74.41005108422458,-778116.3326358479,990875.3696931333
-118.05078788034734,-64.60677050309525,772979.8963581396,1113673.207908285
193817.46954369417,-83.3635497787846,808032.9517137537,479540.4622236921
