Measured speed_t_0,Tº motor coupled_t_0,Tº motor free_t_0
-285748.8667442458,7.01335538523815,-312.3404583413812
-285748.8667442458,7.01335538523815,-312.3404583413812
-283693.0754527992,7.662253964434944,-306.38768600196335
-283693.0754527992,7.662253964434944,-306.38768600196335
-283693.0754527992,7.662253964434944,-306.38768600196335
-283693.0754527992,7.662253964434944,-306.38768600196335
-327756.76709088957,1.8771059515881556,-360.43372190467375
-330267.5399135478,1.779526686290189,-361.49510791955396
-333826.2849789372,0.5418624912774254,-359.5479233369817
-327973.3479443033,0.6981817733320776,-363.7637414073547
-327973.3479443033,0.6981817733320776,-363.7637414073547
-327973.3479443033,0.6981817733320776,-363.7637414073547
-329085.806825835,0.5561677959876383,-372.34585504054445
-323124.08625649894,0.10047036506940901,-356.3415054854592
-334603.331294882,-1.0514534124726296,-362.7834961542754
-334603.331294882,-1.0514534124726296,-362.7834961542754
-330220.65123083163,-1.0456358664086025,-361.73035741993857
-330220.65123083163,-1.0456358664086025,-361.73035741993857
-330220.65123083163,-1.0456358664086025,-361.73035741993857
-330220.65123083163,-1.0456358664086025,-361.73035741993857
-325096.7055702898,-1.3939321486792615,-348.8556388997974
-313015.1400949749,-0.5950811981760427,-349.2706686725396
-311298.70830056473,-0.55094051505904,-339.4218355150293
-311298.70830056473,-0.55094051505904,-339.4218355150293
-306553.0766159721,-0.8673564535727122,-335.65405508813626
-306553.0766159721,-0.8673564535727122,-335.65405508813626
-306553.0766159721,-0.8673564535727122,-335.65405508813626
-306553.0766159721,-0.8673564535727122,-335.65405508813626
-284622.74448018207,-0.3702634682393156,-320.56182410899197
-288805.72945344105,-0.41582915798893744,-321.6796226687049
-288805.72945344105,-0.41582915798893744,-321.6796226687049
-296822.43214674207,-0.5196975427460392,-315.0153371501516
-270643.4350561688,-0.8215969397003005,-308.9768533979728
-276507.25732328405,-0.9396534971638748,-294.44367793216077
-261906.4404129429,-1.2881624759445562,-298.5870473069712
-261906.4404129429,-1.2881624759445562,-298.5870473069712
