CO2 sampling_t_4,CO sampling_t_4,Displac. rel._t_4
30.54764589233214,219.27950659702947,44395.57360823837
-104.83176540819157,-327.1797789239789,-33368.8868897057
8.355276210123776,-260.39522046973536,-16661.448354978143
-68.87053427643016,50.894037229457524,22925.667681631767
-65.46540868327004,-109.78284459497576,13048.5071697302
-65.46540868327004,-109.78284459497576,13048.5071697302
-16.738219836439114,105.98866688506881,-12264.27714409606
-31.05299167263115,-422.45423220819526,21506.82744694718
-1.4840138219035914,-219.11729260583286,-74081.92718087434
-15.573559834463127,-752.11654703298,7800.919427761852
5.810207674177274,585.8800152346121,-9043.833501916666
-96.5997971317789,-881.3033803897042,28588.95587456724
41.95499397182221,930.6473980388295,5408.7796972579745
-1.0470062187693827,-521.5012080599015,-11524.648117391047
-19.374490538318426,666.2896310932456,-28854.850713687432
-14.299594284532875,-521.0463639192202,15874.446967028962
43.725661340339386,-166.37492192256275,-13539.07746493601
-81.12788557111156,402.2128805967314,7483.072347085566
-28.421194182806914,37.852384761396934,-11830.122072995839
-29.39947694273466,99.53528991358752,-11920.913794664619
-29.39947694273466,99.53528991358752,-11920.913794664619
14.022122131633225,-313.5290666014579,19889.970518562557
52.85665667046787,-218.45243360399655,13371.49629229938
108.60532583759769,421.7102139784334,34114.20770867387
-126.66054782486705,1.8795455221071506,-52841.74237448918
115.36441472674551,600.4969550787807,11618.09798502925
39.26546811547118,184.56085182996298,16914.17675412126
39.26546811547118,184.56085182996298,16914.17675412126
-111.10578941569455,126.90843892154868,-25967.163291642413
77.94838134196135,-257.60898482275604,32495.021241121158
-84.2006266631479,300.3828611279178,-49192.38310508675
22.120194559880474,-24.455299968678275,-35132.224496190494
-131.51100448341498,-282.94649464139826,-23975.430476861293
36.79709170047137,-281.10690953266453,18445.634858448426
30.395329772748497,-968.9839367299563,43668.3453466285
4.042141112493965,-308.8382910116327,21743.55947449109
-83.61935923730175,578.2027401500744,-4190.876729027896
-91.03437111969366,568.7443716148166,-22888.238568768644
12.834377546630947,-729.7293182941728,25918.030641949914
-39.56496494261866,-156.29721603981807,-65993.42408541369
-26.113944124287123,305.16118216592406,57850.23690985635
-51.81112874654964,507.95997674623766,44361.44145365468
-20.354995611810764,-163.64622396212025,-10564.312935398062
-20.354995611810764,-163.64622396212025,-10564.312935398062
