Tº B stator_t_5,Tº D stator_t_5,Tº F stator_t_5
76.56880957133093,7.727679761498532,8.243270225250726
81.08850867664276,9.431698050770786,9.386892212198866
82.66120831129035,10.538291679413508,8.86250154213098
77.98978915789677,20.09148532049751,17.135553068147033
73.95232575771973,22.314691366888834,14.97404256906905
75.72427696059837,19.373421601449138,14.471495674191399
67.72760658199336,17.227448566808583,-2.1181538798472186
75.13879935419249,8.129817446547575,-2.7319425168370435
61.71588248973281,6.167837645297051,1.358096786392279
71.58362304011041,1.7067416773209865,5.292345234903368
69.34858120142393,6.032791434945979,7.197795386374128
68.15299883309179,6.6018390628913055,4.657026687379263
67.1650342412959,0.3341347192758519,4.642623461443942
72.557362963409,11.013425056675032,3.3031275192270515
72.36534197552585,16.820747725720697,10.295112717309232
71.50263584463173,14.785542855361184,9.849123707578602
78.24109974180362,10.295735096755422,6.723068612330479
71.93982559567065,20.921214318830057,12.43850399913144
80.19055434588421,17.88213332175915,10.18554474663825
64.60264445978568,5.1506659103805115,-2.633196557403987
62.37542256871198,3.067338148625927,-10.906988560181814
61.22838400447354,1.916852458099193,-10.226338647391609
67.37334820397568,-6.184589680373527,-10.32037987951219
69.14150807759327,1.467528505385605,-4.535745475685603
66.25078601047854,1.539416670762897,-8.603029611942626
66.7124829296589,-1.9906061445496537,-6.692896875410209
64.76339710615157,6.386702806816551,-7.153307443820914
57.78178772465728,5.015150140085337,-6.269303086579721
68.50434368711157,7.541118913199062,-3.6755889645889543
62.886042473666706,12.558318266216178,-0.3342974196213272
68.34117345196401,14.15056399574759,1.34086269271846
67.70288027792625,18.42803959899647,4.536701628110544
71.03489722252753,6.965751353882201,1.2380811134912952
65.65919071713978,-5.917665495684925,-11.942550404019876
85.47445692202119,7.11443519717594,7.947612806459842
84.9888505728394,18.949573280238777,22.555390896955494
81.72032726651621,18.18674413995406,11.4047944307874
62.126064291339006,5.2171530224054,-2.7253561322053654
65.97617283694673,13.616153815106681,-2.6789124457832614
75.44732538041981,9.730108544701164,5.5169282434134574
