Current_t_2,Measured speed_t_2,Ref. speed_t_2
-3014.6298177774534,-92376.80713770655,-203047.57044164804
-15805.232769347213,47197.74308849679,218619.0834606383
41130.1085115565,-49027.29112818808,72236.3540855484
67444.73383799692,22532.077705007036,11121.816967340488
-3861.542949725481,71866.70732210764,194275.0037259098
-23911.985782170756,-402453.9475965817,-270918.6825539469
18059.635623045946,43432.21191833087,183033.69997769396
31167.36401020871,-77268.32809142159,244297.60599584933
15237.118624154029,201246.16359932645,113129.39630799307
-51470.38204426544,-92752.54373075847,-142723.46755742433
2287.141037731046,223021.102071671,229657.0851966643
1648.2262731365659,183296.8707960515,108128.17396074059
7287.272161626735,209990.5888933682,184178.37868444837
11241.399298717573,-98910.20315320135,-111766.93596787303
-13385.11092451528,122119.97777666246,35532.64964035043
-3292.628247837364,65041.02785042525,78687.8497063335
-3292.628247837364,65041.02785042525,78687.8497063335
-14505.809974198179,93952.17264160511,106694.49509908332
441.8756823816984,-249085.57860622916,-297666.05318620906
441.8756823816984,-249085.57860622916,-297666.05318620906
16311.24461003297,-281251.9260156557,-208308.46279474022
37469.98052843075,-249560.73177089993,-205339.35313089052
-53835.097520925,-252061.10658978124,-290117.52134222
-42127.64495705865,-558188.1055479905,-352094.1759934102
-48288.26802848588,-366306.73191056616,-519504.66426886525
-654.640934211413,-448751.88083036424,-263828.011673627
20216.02224970135,-167465.2104917394,-337245.6912236081
28871.387059316796,-340183.3177343111,-52415.8527835274
-14270.921870864382,-145694.11831313284,57785.79158353977
4779.927122288991,208035.83607752295,35705.947265277326
-14743.03043591733,-226055.95204813356,-150461.02661496837
38857.74912249044,259949.90373552346,224264.43195598206
11407.189755292815,146278.3186757462,255342.21161622283
14403.586296881054,-28017.990807185386,13302.123838399188
48456.11472154158,-8764.424661927467,2388.755936685673
24673.720015343093,33678.99519011435,93326.82407459192
-2520.6917653645723,54651.32796813111,36595.92088903322
-2520.6917653645723,54651.32796813111,36595.92088903322
19488.049860032334,5321.992011914874,31931.1521983239
27539.481856091366,117934.59280104899,133085.24010734417
-6054.638370918394,83921.1679904148,21268.223182346177
18545.258417787132,-24628.82981304935,-63730.935085410456
10273.079870414218,-131976.14347737932,-34774.98972661045
-28812.762746520468,-15131.684253372805,-47163.708947349194
33709.0008986088,-275661.0082669657,-315666.38953007496
25041.12211238117,-328862.0036035631,-260597.71532135078
-25304.64709480389,-192972.65024930437,-201826.7304544757
-2155.6995605489938,-118719.6641295171,-23780.82003148783
19474.559268669313,25536.06138384476,86263.39741286583
20333.206893648658,61403.79192941607,13803.100773005355
-521.8745118257193,279394.8527868603,305485.7933696379
8990.197074898473,-242319.6030561342,10326.13614177506
12977.844612296049,-180620.8141951899,12137.04082795417
-13168.939963576355,193923.45852547057,166955.80740949104
-13168.939963576355,193923.45852547057,166955.80740949104
-14015.751733146988,15699.630901623546,27492.334126501344
-26006.690970871143,39012.281119356834,-201147.468635027
22503.689503611724,-150621.06092101356,186015.99996681407
-41618.04906700387,-153833.9469208662,-71217.56408339829
-68058.00632807206,-8198.119142239608,-200298.0022004086
-21608.098569311856,188131.7171096158,-29605.92541271326
-9715.35175397043,-30975.19405292507,-56055.66857764162
42047.88027518761,30519.00178781998,100889.15829491982
-37099.849235901806,245150.08921688897,180634.574233818
-20247.966303714642,73666.54548314432,-7709.224046376403
21058.664472464716,112278.91645168413,199578.23024799468
25122.323298921878,385776.4080333317,255524.69940093765
5559.83751974064,282099.9865123006,389669.1080002371
10425.366880225905,348398.7540782734,205139.31889523752
-19639.578866678152,284552.66815787496,293785.3666835668
-22133.703507654223,-155909.89154612544,-141280.8440729833
-1543.33481788481,-178968.0339455336,-122647.51628141513
37387.420751299105,-326218.41211254493,-313360.5261197754
37387.420751299105,-326218.41211254493,-313360.5261197754
-7971.370533945843,-361550.7020589204,-205762.7815226739
3725.308281616385,423641.9176534429,484734.0934252584
20565.274843846517,-148278.6243200071,35565.6137450462
11986.972170699222,245805.26682904796,37774.786662697144
-39045.81196480443,110165.91986395273,122078.00683425422
-31944.14128249668,292774.5985219416,-26655.506021294772
-35596.90154399368,253310.0158716594,-27331.04173266775
-53911.60323937235,45002.59744575503,147762.16312839862
-37489.499560880875,289765.21586961823,-70455.15412916755
-28470.801240690416,-67033.99279228928,43596.53651679166
-4635.678691394231,-176693.46117861755,-27405.129454300462
-3647.0946340507617,108764.59918566834,77222.77805006082
15506.866235984035,-246934.06061673292,-125787.92593875443
-28409.859224845917,374602.8058646358,413479.50070324575
7025.900085718291,320350.9438474648,193893.62850147975
35411.086734799654,433712.47738962225,107624.53448946353
-2060.9153178790384,234937.01197066926,261514.72282807264
-22125.402290637117,-353618.9359545967,-298127.66681741603
-18475.28811618842,-118524.92339257186,-120571.5352341268
17522.661417535175,200778.43050119534,183226.62834432482
-729.2591187281141,-123380.82189004644,-60446.01426434811
20520.49883833187,-137802.9143088714,-123537.22022728165
7915.142014458928,-301713.38193365635,-183973.10380690906
3276.4703172360505,-125749.67360597316,88615.81654353341
-23062.340977618103,-26674.077766753384,81276.91082046104
5432.183960863093,-129.5828925785827,-158424.43698064785
-42091.89360961647,-213078.58441954045,-41569.620192376504
14670.528946199502,333816.1688302872,132935.6887073943
-32852.640342586186,61321.89920294768,173317.38044143084
-23423.93390291764,-51510.83692786048,-259085.5155881814
-12682.680967033872,-298531.2133639885,-41453.32486082293
-3124.646624870151,-244000.77943878114,-127668.95462914435
10066.068273058729,112542.32302422856,229409.7390877391
8848.3854235326,-81156.8596997898,21868.326171150846
-2857.015286192749,-256772.19531031116,-137813.08998765118
11607.5721312455,139345.765197558,63302.9949384646
-29711.87592088495,-147454.34264389012,-12296.750320493404
-34650.68029007254,-126182.91268275917,-222893.86947013583
10668.154954437563,-65965.5738429319,-56278.82478061362
-28035.53646927285,96624.19494447407,-51407.42745564304
19201.691652271635,-139413.15098090522,-225155.8321135706
-12130.095986889315,-213630.0179496825,-14783.150158379009
6705.450209493442,121699.36461939834,133649.375053033
-17818.115189427688,-192841.5272983634,-219558.542899367
11631.332760225394,-364379.9648907267,-304872.86097529734
26206.883359541032,302845.0206272275,397725.71972367377
-17182.45970583039,29562.83731608923,-31876.159370284062
-28656.016185864788,-268647.33715783816,-107701.56502269175
-28656.016185864788,-268647.33715783816,-107701.56502269175
-37353.24409941462,-263656.42450864945,-80662.91456500506
17874.681194434248,301057.3241452937,101297.40634112447
22758.32275393348,273272.6448860761,82481.98492240749
25458.706986370544,195700.12282356736,157189.95590862248
34814.17192777168,194990.6916883183,128275.61942550616
2246.003470939082,-68946.5248482975,-83073.75725719056
33888.83102014202,-61181.2433344186,-40360.45223257947
-27059.580968329385,-60258.31751231062,-156710.08842763328
-56810.47908811393,-212466.1918998374,-159868.0816085522
-66196.40671050464,-199928.7059802748,-143782.52365430654
-34745.869411617496,80934.71450465794,-123434.4601388547
-30776.504120543726,163945.50573415746,-144392.02427522076
808.0621257629173,-268143.29797943874,-227688.93740403507
-39219.347825887446,108102.87901636906,15936.110395641532
-34025.96162853199,-40939.279555873974,-147061.26899521824
-4950.112669883962,89409.10754375922,198564.73191452352
40624.8000634434,-22451.494763604773,143280.72936450242
54931.96988997025,120565.38003073748,90426.0043323219
9844.717262631159,-135366.0746187078,-170906.01652544257
-5297.712188125127,-159784.25201440346,-42291.07800043121
-37577.408748658265,165312.5506209116,-144747.0208950563
-48411.46644061986,77696.63818675384,198296.67396917712
-44691.3043675426,265494.9204067812,-80473.66304358287
24572.72806134709,-57509.40138761241,-70606.72052467376
34467.54709140418,-198041.99972785928,-40906.26114865043
37906.196531514666,-323880.2298462212,-110776.56442702397
-2593.5453158935343,107946.6553124658,18624.487405837983
16028.646712544247,195236.89641512258,137339.4345094847
18052.94941999272,-102135.54936694854,88590.42934898447
56925.064544156034,123390.5244747074,-7015.600770444814
44207.6951133148,241238.22911572285,54887.15330327685
53552.40266090129,169516.65028113173,167383.4231498618
-20298.233730618973,102416.5927371669,143904.77594744106
15026.544279077594,-27476.719386807294,-76686.94068479324
22155.297629261408,107992.54987183711,9575.937134113745
7549.169813771301,-328124.92030731635,-168544.72993007625
45936.714682550126,-189991.60066462742,-257476.4438690261
-47887.9748596476,38645.4079877208,-209974.3951040098
52536.79479233101,-112436.42951373308,-149336.0034988195
-46070.0151594471,439227.5257412949,266990.4600347616
25237.183766909468,22084.114317566768,38946.320884133806
-14634.143585213184,-102574.29629932059,30478.76428318883
-26427.206013406765,156852.78260201268,-39936.06151443106
-36453.85050090705,-487098.3021022483,-253818.45181887358
15100.382484655158,135820.56573599708,274077.1687710107
-12703.377575411192,232086.5406835624,79349.95004543511
-15317.490794653379,353515.640056678,30717.085921362945
-1956.2271369330774,132463.8748466052,56471.16066049275
-5766.4458211788115,-240275.68668478768,-116735.9904631519
15250.324629437539,-73069.34657100742,-154863.72971729448
7458.1596116928595,-257149.78275922468,-108896.2613108689
4474.07382106082,-45768.94050712311,116129.84073754071
17273.022609363146,103514.4985381121,98476.48732489222
66726.80102978504,259766.1809035485,226873.8774448253
-21340.077674770248,83133.35618813179,-52522.99884231275
24062.059771192922,8581.347643091642,130937.86867612886
13530.96743412652,200913.300949407,63282.71943209437
38729.525349596996,-51438.60630534115,177524.41900108522
38238.558587226595,116570.47866879095,-1696.976371362398
-15471.218614876012,-166711.9669559608,4301.50247159904
-55187.82478943578,-55650.204261387276,-41183.19191160501
-28234.351621906222,-153058.47843913958,-220612.62443837425
-2221.955713824642,-129634.42965065525,-95321.9414848201
50093.011005661174,-194189.15857613494,-109483.5095570504
-11707.468883883965,-285951.8985127824,-231309.07636329852
33308.2788116218,11149.803774199041,79858.19089760461
-11943.056625527632,101055.91725064008,51972.93000361943
-4888.858341116542,178897.7825745235,149850.19866029837
-29731.394480423092,485099.3411266545,349436.3577520669
11097.175830783479,-473400.18186064414,-337329.8914637264
-33950.1168281221,-154635.1558347491,-174175.13176726826
13959.215210608796,-99758.84766397692,-116444.08263768499
35603.51499557952,-103933.68086460565,69046.28262814334
-28469.549491064496,101635.61402458993,-48087.00697322452
-8314.232157668885,-211825.43591865627,-41432.05554450338
-13688.888863011882,-415631.05345662066,-153316.5747772676
-36313.64214614923,-275903.99887111335,-438407.06706108944
-6962.937993880791,-243090.252037718,-93396.39892285172
23651.753810340782,331533.8840774616,449166.82322530565
-16355.393133002177,377080.02883447206,112170.13351716002
25329.763984430152,-158349.02053959045,20119.582716177218
7701.398715806496,-197040.92917352688,72961.72703428246
1786.0944719458303,28068.54556362945,-221446.100267927
21618.95339663996,25263.550164236338,100157.96003201466
-37985.21071687937,-14552.70653110191,-71923.18318209377
-37985.21071687937,-14552.70653110191,-71923.18318209377
34620.909644033905,-212754.01501145936,-125163.66092135248
14335.753745801241,-50564.5639445408,820.3241996254073
34194.439705638404,255773.5191580014,25330.628200786683
-3406.491216141065,-320342.6948617852,5244.770960032387
-16170.811497432864,58422.44275821751,-183423.59203006033
2789.9909763522774,-177303.5936326693,-143012.34376716992
-14888.314511031022,-371813.8785096336,-323048.69314279954
6594.563685225091,-265613.51084821054,-270227.01032664394
-2578.961535814923,-49306.54920427967,-20117.016662676382
-15069.960980811356,-102336.60868474527,-113450.4639931939
-22753.18580353071,-44109.5872154472,-45030.86791055446
-18870.05517570642,-64775.72444609295,-152564.51205634445
8328.662064265984,-145593.6005649072,70853.12535295822
-22867.809685444936,172282.6442602349,-90198.7288480103
-16190.919711346703,-168602.24551962168,27096.056485452864
-20396.378899063297,56115.67858021325,4233.476230841181
24476.93218443026,-22060.8360235219,172011.11427672597
-25805.371560392614,7042.050391902681,165427.10298106747
-19831.322845090323,49226.62714307568,98782.11192652774
4520.965878873923,188899.55172229887,281804.4227822259
-19273.39593678305,-155274.01957950892,-75953.04418496508
-566.5923816180639,41136.67712084713,-120698.73785028445
-6815.531258586516,105763.22097376469,-20303.00962527492
21295.61056048979,5674.959896420245,-47208.167706347216
13839.259342497497,248646.63988195668,154457.4522492474
5063.0786292088615,99617.78324559098,-263309.2902869123
215.43768494034884,-126312.53856292932,-193657.70840842664
-1930.5007019636755,-215105.06194218964,-141708.0917531146
10229.491304079704,95367.64413369352,119587.92805202588
22432.53142172081,-214746.2927196626,-148218.7692622912
37646.33123582187,109164.46261341963,149804.83399220978
13704.780571631254,94554.93850148589,67256.19415774485
3743.3916322948667,-69651.98295176493,50030.172081215715
-12743.625573967513,-173838.74559837717,-129375.25357092524
-6641.911189791909,-150310.88722428732,-122308.38605153492
-30224.196956251413,236522.37736814568,159851.50030877435
-6380.627455496655,284529.7312338856,255470.18441375863
-3819.5384806536495,273112.7474833187,287932.0945802378
-9706.326269951413,-203746.4746793877,-200076.12730162672
-379.42065858231217,375965.02893659467,157441.37241469676
17044.39441768085,223391.51429194593,345268.2369950245
6891.031781662254,2286.013585449633,-25236.56273369977
28943.024506839487,127236.25143737425,114426.41292398857
3784.6239887054,26497.967065281802,143263.62430471525
39826.625501592236,61210.10241636627,13413.733320016283
27677.798723124288,81988.30797123756,189596.29777319852
-21951.11540209077,306129.0691777029,186156.10315635876
-27144.73557395495,-89082.11037337294,-207810.81530214736
34296.1755924258,-447573.95947423344,-258815.2445185507
-66747.35317191844,-235106.8563460706,-114338.69832237036
-33863.83786655879,-71972.15776090158,-219611.6585334367
-31283.575286414,-83264.9544272289,164748.90927787032
-22516.156454526998,-35888.561818483344,47708.475439306276
-49873.95421095698,-97446.30220175163,-305348.58548269945
-72917.35718271739,-24449.187745504925,-196422.53477614556
-54955.56291416637,-3740.7829238822596,-94596.53436566342
-69386.01321250838,-55016.52200474486,-149339.4041353452
-37655.65675616556,-196756.50043926144,-61341.01688207046
-52480.333819071064,-47194.72463117479,-64657.428606640286
41133.58610401981,-38744.2800841374,-67499.84191071517
15607.494057522774,-52225.35892216797,122047.90147110067
15607.494057522774,-52225.35892216797,122047.90147110067
8009.007302475459,117527.19115990412,79261.61427090986
11995.314605864794,116427.12612964545,88505.6615664264
28063.12816175101,30658.89715956981,240711.8540172331
36851.05685974465,178956.8374184777,31246.70251464707
-16518.29627167432,196165.4004128637,79195.45349890023
7787.165667245266,67261.37930880656,134883.84321240167
30780.035179860828,126028.0357656075,75487.08446559533
-36386.23686378141,-51932.27972927637,127683.55461559349
18713.166063381002,-82318.537653987,13361.309503889453
17006.198407179756,-252506.14962876434,-179202.05158233762
-31643.262368915144,-529942.6764470827,-335436.5123926454
38706.80953833253,51463.14164439123,-140984.9109569821
10207.951979573547,-121965.77618921582,139037.95852205303
2781.645941111626,-115057.54881407967,-269575.51753089606
-438.6970742584426,-236610.93925826822,-78891.63885881036
-5138.486049858735,87666.7749315651,9557.656251933127
21407.390549745967,-40903.60415915238,190517.53283876998
-41236.184902218425,-9792.714562781355,-356068.45431733946
54252.88378292408,-58766.742193189566,-74213.46224984243
-38808.13599327262,150494.802585419,-20686.82022913389
-38808.13599327262,150494.802585419,-20686.82022913389
-25975.977020217513,-385105.7344168965,-247174.56697315862
-38948.75556973356,-281102.37831817695,-347547.9242383515
28805.88450110657,-219886.69161410924,-164707.7648279607
12136.8107798255,-399471.4398356247,-247027.90438139442
37572.09938246769,-112516.26701368601,-78930.12839450425
-5704.229271528253,-64228.55288643119,54459.388155401335
-6536.425834988297,-33076.14984089295,-124129.80323303747
-7621.45843658263,162520.90547016403,67580.96871455146
-11781.713241955535,393235.6048668014,-24873.882566340646
-31979.674733557848,-49064.1828234907,95102.92825309011
-31979.674733557848,-49064.1828234907,95102.92825309011
-27686.384266576028,29220.007437091306,70679.04882757727
-33086.12303694406,-47687.766151200405,-169734.67754010228
-3402.4774987844794,170720.22762404496,-97307.3006853971
-27193.814851642444,-282198.65995982743,-5291.85462745555
2982.9055449806183,109288.8879548405,3320.2989937059447
-17601.425849011503,87756.40196453073,-103006.74160061806
-27387.20992833179,-21381.879305720984,92674.67137367102
-21955.450077682923,14398.318836576967,27684.330103339133
-4933.005948104375,319674.66458600014,257840.7834665743
-11498.969695816062,350267.9894022064,291796.42718014156
2689.7885278538215,-50121.30915041274,-42666.77145758559
-32007.541361442734,58619.63476992426,-3902.017337615638
15665.076158887288,-143576.68183339556,-246874.0083843245
22252.304833848586,-279198.80558777566,-48258.17561191565
-40739.674845262314,-107212.63575483329,-71188.93114228081
-37576.98514658694,-51646.6405212588,-150387.53335279718
-56979.0090128713,-127688.10102198925,-22993.722496162984
-31011.138261676453,-139775.6837704835,-44823.4941468444
-24527.727098982563,-85123.56671745515,-194463.88996003612
-52118.9799553576,-317705.5754253136,-256786.54932660505
-18746.480978111147,-316124.7966177332,-149495.18170866475
-4264.573327496647,-233750.0835893103,-367108.7879253169
-31644.096341099492,-308024.6611574195,-200740.27825584146
89.64192695365273,147484.16727045676,-121554.85896603073
-14970.413924218112,5666.257689595121,3592.569743158194
