Power_t_4,Measured speed_t_4
541005.9996521198,213004.38936631035
-223993.89994132967,-322108.47623151867
676908.6419242821,-39452.36430638551
-1317592.1084430607,-517759.91667815694
893465.4772340184,586848.5073832328
683481.470735477,496747.7449849573
916976.3364630041,417624.19407970476
771289.8765428292,423528.64534306584
-1688014.1036639358,-568466.2311684903
-2444923.2624885407,-1018827.4071871145
-1893861.914233606,-1056055.3324053623
-1922775.1820036266,-878061.0825806379
-1862942.6279545382,-518666.5120922807
-2093562.4275003758,-981704.8555689126
-1289000.8993531186,-405882.1563407344
-1461825.8724366906,-668005.6164666414
-441643.5611687687,-134445.1062689862
-1408327.633249407,-550797.3669739314
-2558434.0432985565,-796996.0748995633
-1942810.256171926,-920244.6606081431
-2562598.504058374,-987915.3230779837
-2799195.5619147425,-1103776.3431306258
-2838686.473419522,-1172582.2895262672
-1882699.9266545125,-980254.1747113509
-3200338.6769763124,-1361645.5994170082
-3553295.0002929317,-1392600.0011089745
-3553295.0002929317,-1392600.0011089745
-50384.31937880628,232792.84277100186
-634796.317971742,-26049.273902245186
-1401547.8204972595,-131266.63337754243
1259449.9297553864,665647.9487582066
1488744.510778252,550482.5219461425
-2366372.7793218317,-806083.9463259933
-2184102.133309487,-857148.5263552626
-2609748.0420536674,-746950.2101105258
-2540343.696439228,-688413.0191986447
2959050.017742086,708035.5573245094
983119.1039038504,817689.6960017867
1330016.7001403256,581100.671959692
956195.6328219157,503883.17448838096
-141360.01682776737,-298627.8750169941
388916.4742571452,415729.91035637015
279938.6015385314,478730.4643746374
684790.2300651876,449454.6464579274
-481649.8183777049,-266563.5684438197
-212334.4250707096,50339.5338452835
-71992.49018542867,32600.65227015246
-71992.49018542867,32600.65227015246
-71992.49018542867,32600.65227015246
449519.99253488757,221396.60000994112
-1132144.6838826337,-372320.254921533
-1132144.6838826337,-372320.254921533
2108549.961926114,747203.5006944429
2108549.961926114,747203.5006944429
852151.9017051137,379963.98435680143
542294.4695937642,-85027.93760116809
-1068869.9039148595,-535391.6451464673
-1187080.2026926605,-340293.2548596257
-1389971.335194011,-218382.05692000472
-1645229.3306426522,-212605.58680016448
300738.8080150144,-244179.80353917793
-2423057.662219903,-858527.0636663702
-340244.88279633597,-192331.31035518256
1007145.6287574533,425923.3964756245
90957.29324360233,-29244.66322953219
557502.1352726115,319013.67142981
1928944.9083316973,545734.4796792577
1527473.0175176598,431718.3661823517
22820.35426727723,191782.4203961092
-605768.0002873361,-54525.96112847412
566186.6488062765,32862.65125764497
-2172974.210721369,-761304.527180126
-1804381.2848413193,-680633.7092428205
-1853674.8860344498,-769718.6345422461
-1219280.9777582113,-392047.7300629992
-569714.751435341,-136279.9957472654
-569714.751435341,-136279.9957472654
1352569.193875081,501593.8642396901
1693885.1967265408,399532.38975874294
-163925.42285790807,338740.74668308324
366870.7481903954,-195408.64716839034
173106.7510180671,-47870.4245917463
-617576.9203227125,-263241.25785601785
-2162237.8980617886,-939051.8611362551
-2079361.5322378282,-735931.1611897567
-2079361.5322378282,-735931.1611897567
-1967438.1587275148,-790613.8467114448
-1433942.6272074976,-674881.7625056391
-742142.9671390651,-573771.6988352563
-1083112.904284082,-570202.1785777156
490341.2533349956,358595.82334121247
467359.28973011684,204244.9514550475
769754.2211742168,324290.2984875998
489704.0321977629,567772.7389215251
-959002.5026912007,-60063.04786190443
-535330.3750298911,-151227.78827611567
1093307.9595124205,596165.2359799328
1532746.0159864028,630633.8143847152
2169968.729216623,965996.2206752618
2169968.729216623,965996.2206752618
2446168.2400661847,1103465.1016300318
555456.9885828183,220180.67103072262
284814.76847007684,304053.16581416345
2033366.7507318624,506576.83162062184
1539770.7885322408,502491.3086831904
1542377.8200998614,1057841.285052941
2540018.326239906,1156112.5773258673
-2621446.233643245,-1330145.5379370805
-2959742.7702268073,-1262830.9723700758
-1429723.7212208319,-859227.9230420303
-1429723.7212208319,-859227.9230420303
815554.1648684652,551097.5090944853
326694.42205631523,-222566.843772771
495140.6370890931,286702.4126510863
58834.402825671306,192843.17058640817
-157536.14626115156,-199276.6500313655
-141408.7284998059,-205444.3394971677
-30917.806873631824,49070.65545774769
458199.21205201984,203867.11924316664
1317332.8523694074,493144.9749313395
1163415.294362794,708865.7653550769
1825545.3803040078,552046.9621378357
1991809.311119963,465690.97339910315
202184.33963105525,330278.2360259138
379472.58832107973,-123074.9872523747
-1014619.177356962,-147444.7715366438
-85163.06625997229,267302.65976625425
-1707097.2009356976,-372954.44578177476
837081.8512837072,107667.8126118824
892546.5737011507,79317.34966207313
-196968.6616390308,288271.66275263386
596428.2641812528,60583.558515146666
-834849.979996311,-132674.7359332722
131030.92632312665,-69266.6378970907
283853.5100746688,-173450.2883094891
288211.79720206634,-241800.91153176763
-209145.5208223053,187744.6263191873
909415.8735992616,490759.12491973536
909415.8735992616,490759.12491973536
948105.1745012968,327030.64140300127
948105.1745012968,327030.64140300127
-145754.52881775284,84940.64216461242
-1405555.3925492202,-580249.9563307757
-230591.68198612728,-285749.7860883095
-443616.60241715563,-331732.4088531461
-2040777.7085906938,-869586.6086709183
-2005007.70228027,-657850.9129691254
1318624.285117893,133643.7474646452
1217849.676941526,289175.2202140623
1181755.7979973094,53536.943355582305
1716519.9158291095,1097778.4326468848
1141594.9996619031,933044.5064120102
1844136.6615224683,359052.25018840015
1512917.0548969375,303952.3132456293
1512917.0548969375,303952.3132456293
892831.6145193253,318510.1125434189
501637.9694640753,291171.1115706466
1920450.2803202476,426725.40659386915
1329080.054326837,792170.2881605849
1318557.4728761765,654099.9689388159
1318557.4728761765,654099.9689388159
-1949198.980088652,-734462.7924875985
-1681065.2565980435,-823815.7934864176
-930795.1441261887,-259105.5018364114
-918032.6446574474,-510361.4163250138
-918032.6446574474,-510361.4163250138
-846522.9910367312,-656801.1776245493
-2241443.095726818,-577834.4168501709
-2274629.4331055167,-684097.0480887231
-2549600.326865312,-789504.6706372616
-2307504.854443397,-1152917.7387981298
-1209267.03842903,-275573.2633779356
172099.5245674674,185065.11260932323
-145752.14801501666,-40593.90885257782
443623.352132909,-172307.82676433426
-378016.0711393036,154531.31404867067
