Current_t_2,Power_t_2
36029.59085575267,999107.6498083683
60929.36553671696,2281573.041232647
-56917.96975448646,16028.951007341966
-28749.84849396758,338004.7149822113
-35907.20000663959,655969.768063378
-35907.20000663959,655969.768063378
-35907.20000663959,655969.768063378
37584.46351897668,431132.0639175689
-29090.586191601316,-315476.9059701892
-29090.586191601316,-315476.9059701892
-12869.072048046304,50573.641270505905
-19505.760244891146,510128.67253850144
-52047.44748966342,2394251.367858508
-10565.031406959853,-373740.9855859936
23748.00422317092,1292603.4046669449
23748.00422317092,1292603.4046669449
41876.37331312106,2785715.961055875
27973.21536123994,567807.9087753003
-41758.076231779225,-1309752.819162404
-58084.65704753956,-1175246.6851179632
-46879.28914896292,-1521841.4022175388
40636.7171243778,716038.7367200394
-50612.27320252753,-1871020.0074630762
-6283.442436816273,-1505285.5904143048
-7118.9090149850745,448674.2194677206
6821.975059539298,953491.0376013545
-31381.909562950783,-3388801.382300467
22210.989644858695,1467907.8804538827
22210.989644858695,1467907.8804538827
22210.989644858695,1467907.8804538827
-22771.14532100507,-1293863.9612957656
-48208.2025645276,-1772969.5461094712
-14781.879363347281,-1808221.1904720434
2134.826912514691,1442343.4872538806
5810.72672681286,-720826.5976871222
-6386.304698272681,1377154.9613729022
20662.95337113272,-224262.76991521288
-23407.298410733794,-759497.0958239451
-12584.948288397038,1358959.9076911095
-42582.566556726044,1951877.4538577728
-27032.015131976754,1604673.9259005194
-17948.070591603093,1674058.8337905274
-25735.48946995075,1934956.1018016378
16631.181271380374,-2808069.8174960595
456.47081093277666,-1151366.6724481187
64615.56484157166,-2452469.743164763
25530.61269047638,1287153.7870104592
-21782.53756101835,-215160.06288828515
19442.508782874967,873591.8180570507
-6244.218012678612,78400.76011816808
17639.44623982363,355789.55561560387
-21123.65278211078,-679904.3283702368
16691.819173805325,-394053.0437228037
-10091.40975778312,723004.7779558229
-1185.859414872306,-1629020.8086300138
-2204.6490575153002,113028.5702601443
33027.32073823415,-1751576.6362695922
3665.1339733337772,-2257114.9402790377
5203.695032905569,-775442.9976494666
2973.9970093742577,-868001.829840027
3962.6316265727146,671641.8661960636
-11009.994064875387,1036771.77080556
-51838.69967914726,-399013.349673455
-15096.902549462604,-283054.94054721657
-25213.794107801994,711011.5530379922
-25213.794107801994,711011.5530379922
-24641.853415136407,28506.96720143268
13662.074566276995,-146704.35630573798
17749.060896437306,805605.650095011
-2260.7892374137664,707755.2286940587
-2069.321746648713,552172.778444136
-2693.9362443568007,-1666271.1944487474
-18687.68005202184,881127.8443166073
-70192.03544709185,-1798634.9673707206
-54511.48481970705,-478629.06714579347
51390.387683889196,1075606.4376203483
17389.94464098692,1854706.9671930454
17389.94464098692,1854706.9671930454
489.85238119486894,641344.3120250388
-3641.056924659739,-846992.3945165533
-13775.26936191794,-270246.2488461945
-1406.4660343252308,-1883659.2790249179
-14225.27086799941,91826.38767926767
-14225.27086799941,91826.38767926767
-14225.27086799941,91826.38767926767
12187.073493836155,-206576.485676711
12187.073493836155,-206576.485676711
-14989.581682444776,-1482721.2513432913
8063.7179696034,-1203214.2273780364
-22052.485776019825,1370494.4370271252
-54612.62490604211,992186.0070718997
-34646.41297594282,-56151.12291811395
21304.124625849745,-1881383.091043708
25246.733055766104,1461140.132315781
21130.36113401103,376901.26285646576
39833.74229438091,1396590.6114926883
-28467.03478967874,855420.5860936597
-45519.78132381286,313309.8797209668
-9873.10363104278,-946336.2397220202
1007.8381661245221,452863.06093425874
1007.8381661245221,452863.06093425874
23673.75113547648,-1116443.1663179086
-48260.513684488105,-1953082.9101556102
33816.67140632473,614334.6736078144
33816.67140632473,614334.6736078144
-25112.389790161615,730069.2559212034
-104.32226687969887,1156203.2768205144
-6347.964871425029,-1580346.8294428682
10767.167756485738,1432118.4652677528
-7101.422393624589,-571290.4370603794
-23907.14922922064,-2030597.8271211614
13398.913613843406,142687.13133967435
6077.5481760190705,-165126.68235626025
24267.462518197615,-423867.63568598963
7676.519226501354,342383.18924774625
6361.671009958922,1519964.9990590138
21452.535283098863,1201975.6866771108
46792.96113222384,-1955096.8437662215
16383.47975698797,-813394.7048384307
34379.253931106854,1131564.5211109666
-38079.509516399085,-1274238.7297466397
-8106.235828302841,-947744.6337983205
-8106.235828302841,-947744.6337983205
-3447.079851270044,1583432.6288958834
18804.511127264323,643960.887255514
36717.33032507695,1712068.791197085
-44404.47563754675,-2949493.3728673942
32359.81880909539,3103277.226643112
-12317.3000210865,3417631.0222988157
-34927.049483281,-3284723.4507965795
4416.739694362863,-3219331.7201753985
-24118.01394225495,-2336774.855876619
7286.170206986262,-1574084.4467173265
13849.09976933177,-1120097.7149463838
-26821.735548121986,-510859.07726337435
-40197.90780414989,-991906.2009123045
-34183.95326029766,-241910.55180067604
43132.66010283536,1714103.3243069556
44474.99220223297,1280023.2453228526
-27182.907226317213,1125686.9346204624
-27182.907226317213,1125686.9346204624
17565.78323596056,-2037420.2365699422
98017.18497241638,975284.5311903972
42999.83387821544,-89917.21333314106
46467.910274608876,575715.1322987447
26212.05903204653,-738180.2050395475
-63.105305979115656,317948.49833715544
-63.105305979115656,317948.49833715544
17804.973249719773,-501085.94761589286
-46408.144976731055,1177641.664236773
-17215.330211907567,2757025.5241211196
-3009.065329117211,1156970.9810258779
37893.633581688024,407651.95441082644
52324.35152907353,-717883.1109230152
24377.944356141343,-2380217.999501356
38174.646112866016,1652476.5984320226
41875.27269882616,1486364.5137279888
19721.026278656384,2137142.751004493
48412.46173583853,3146685.43441906
-29045.087503776365,-6208.547563377302
-29045.087503776365,-6208.547563377302
-17592.215494906515,-460896.9302141157
-23369.294184194445,-415048.7580224083
12250.629089029637,-12322.566453148385
42828.76677884347,-600611.7183350984
4791.600583026571,221544.1283884499
49353.862467779225,-794103.822244
2800.8709871494793,-1390880.5227490943
28198.52232057161,-1991011.6371116356
-23556.300013636814,1873134.2823234352
-23556.300013636814,1873134.2823234352
32291.0947918972,1626558.8158287844
22329.14789670998,-204420.20996832103
23336.362266444114,-469604.36647738307
15577.422135984478,73820.40936695563
19047.60462672572,107160.37130028417
20054.46287614087,-1077943.4094484705
-7361.187766829702,-1249388.7859828505
-6793.156772301159,1218043.338897718
-19312.81043592481,1612837.430309148
-14780.07984013596,-608756.8426156999
-3763.468243255249,-813661.7342849944
46044.37096474656,-1637148.8549896567
43319.509905364066,-256675.48184173065
-30087.638613524163,818017.7930895268
-30087.638613524163,818017.7930895268
-36889.59366900174,181909.56984370342
23783.085836985927,-1827935.221938208
-28095.91641601359,798135.4567292358
26077.146825412558,-466825.3745278722
26077.146825412558,-466825.3745278722
