Measured speed_t_5,Gas pressure diff._t_5
27447.18018988623,-21.440337499549035
-64417.59837071488,57.89550720984248
-195191.49843157394,168.87319368807238
47964.794163295635,-36.526439216910084
-180228.13369445316,154.81852739020434
-227721.0650456645,196.07511060968972
-10476.768221203281,6.6739226985958435
10777.644786912719,-6.363134977391995
292527.90692644916,-249.89897109824022
292527.90692644916,-249.89897109824022
186773.6528087273,-154.23000805684023
184581.85658526546,-155.6474624631745
-43224.418270658854,38.62682806438209
144118.57738245337,-120.83111245241025
144118.57738245337,-120.83111245241025
144118.57738245337,-120.83111245241025
143406.89851657214,-121.85000646588017
143406.89851657214,-121.85000646588017
316574.8269826437,-265.67240880543704
309407.69463117205,-262.8545936906939
343494.9223009978,-288.1902001482073
190748.70397137327,-162.11660503217811
67504.7487937691,-54.79515643710286
105988.62931464017,-89.37364790175556
128310.54084893155,-105.31956317648101
256188.38681627956,-214.67752696602486
327653.15534906514,-276.6234093159352
384901.3337476013,-326.7867342173525
378527.8415754778,-320.37643730079003
262224.8102140259,-220.23960476523848
258301.60685503163,-217.83944724519858
256509.45528284457,-218.55867480714144
257663.77720193556,-218.3112659704385
302170.23551891267,-256.2179207012385
547067.1479663472,-465.99179746246347
-442037.5824837963,374.55963690720176
-440289.9423121809,376.3168034681513
-290079.2751395839,248.24854683225843
-305253.552158522,262.8312550613278
-291338.95816352504,250.27782374774952
-173721.5050278357,149.45774542246556
-173721.5050278357,149.45774542246556
-222064.6284955263,192.17325804728418
-399999.56296920846,341.44293856684504
-397639.5277089443,338.87911499927645
-397639.5277089443,338.87911499927645
-368794.5788010383,316.17504203042733
-368794.5788010383,316.17504203042733
-368794.5788010383,316.17504203042733
-368794.5788010383,316.17504203042733
-522323.0892416793,449.9895496611492
-523866.42940543365,448.512362934446
-523866.42940543365,448.512362934446
-523866.42940543365,448.512362934446
-513142.3180775033,437.52594948675824
-520414.3837886765,442.3092667140858
-520414.3837886765,442.3092667140858
-520414.3837886765,442.3092667140858
-523363.55306853517,444.3957090838166
-513739.95167479006,439.47636882122265
-513739.95167479006,439.47636882122265
-513739.95167479006,439.47636882122265
-385308.181192865,330.1053540102209
-415042.49670632987,355.073219065224
-374677.8907332314,322.1596567744704
-369888.41467690817,319.2736412799938
-370932.3908491846,319.50690844618305
-363912.8927724459,313.81972284543457
-380717.64913256123,323.9715771403131
-380717.64913256123,323.9715771403131
-218929.36809941684,189.96579378397394
-231816.84968567127,199.20088476267915
-231816.84968567127,199.20088476267915
216609.51201921472,-183.0149934456315
166310.28135002736,-141.81310615637184
163008.40965406783,-138.79721623536113
124678.11870889894,-107.21367332307757
111536.45164965081,-92.17347820899195
48218.72417350479,-38.879227232606965
48218.72417350479,-38.879227232606965
277897.6063252248,-235.27125784404694
289102.1624353245,-242.89133184451737
193762.36882580526,-163.88710438291022
-224466.1695190559,191.4795766058325
-224466.1695190559,191.4795766058325
-385704.08072964905,331.4620787741327
-378800.21320137335,324.53620791974737
164199.84578615575,-136.65598281673812
53549.648351807606,-44.82028555094283
243400.3808105786,-204.2460091709203
412309.66218883335,-350.8351385389759
411493.6752211004,-351.15051642792497
411493.6752211004,-351.15051642792497
346360.9700445292,-290.29885866561017
349070.93817077955,-293.3441458510225
313908.2701205626,-261.74003041241184
309626.41399852367,-264.6217013261929
306067.1025533483,-256.7117424214488
179688.07126733722,-152.5596570216759
179688.07126733722,-152.5596570216759
188647.82338075901,-160.37905949905704
188647.82338075901,-160.37905949905704
187794.5442068278,-159.48488939194377
-264460.70606321405,226.59793125813724
-25451.053954495575,23.56470992703173
-91738.3527305034,79.96814471273417
-92643.56344339655,81.09770441548083
3385.417622690401,-2.769197083879486
3385.417622690401,-2.769197083879486
2787.232986715384,-2.1235458318979132
-92833.1135390984,79.2336577551217
-91680.56799756997,80.51025311123146
-170077.44621882812,147.05440308457733
-170077.44621882812,147.05440308457733
-64675.324680418686,56.97538195565842
-29330.01229078542,27.326722104029912
136536.86919693294,-115.58055877130292
473470.9379080876,-401.7418982565741
473470.9379080876,-401.7418982565741
139181.20611347829,-117.35442661843541
83847.438060257,-72.13590880411118
106085.03338766743,-85.91699322355171
106085.03338766743,-85.91699322355171
85473.24173520693,-71.08846522755636
-75198.88745953151,63.45162251884417
-253036.12143367474,220.03430225499372
-194952.50377933285,167.64265939227437
-37458.53403021024,34.245235253989684
5850.515398664339,-2.050734753852346
5850.515398664339,-2.050734753852346
-145196.1861342449,124.13985600145207
-148685.77454105704,128.19844337574344
84111.77737536085,-67.09539189152137
67610.45386267085,-56.249411977317116
32412.1585482655,-25.37958551182851
-225279.11081592253,193.23912444813317
-45380.81857943126,42.61419989046202
103042.3210599832,-85.53699493869375
-59824.74892221766,54.592058939455626
-157034.30748194043,133.9305247499841
-157034.30748194043,133.9305247499841
15875.215101294281,-9.696411039157685
-55859.92233561999,48.8425507842659
-75691.77417888971,65.44720800084924
28346.49337525317,-24.021364429192353
69615.38483841739,-57.519317479416934
69615.38483841739,-57.519317479416934
69615.38483841739,-57.519317479416934
32735.95110864293,-25.814314796236616
171062.80045841093,-143.21539613845903
171062.80045841093,-143.21539613845903
-52176.063257020505,47.45772216806384
-52176.063257020505,47.45772216806384
-292267.0557313503,249.1558138478202
-302195.5297350899,259.84780395582465
-24956.395397454464,22.566144121995283
-24956.395397454464,22.566144121995283
-49973.23225684854,44.041829779807294
76153.76635089134,-60.84180152603598
76301.635163871,-61.49529791008445
37403.966495541856,-29.539820816237025
37403.966495541856,-29.539820816237025
39095.6985138229,-28.77372567766138
39095.6985138229,-28.77372567766138
-146976.33504886818,130.41911172968926
-146976.33504886818,130.41911172968926
-176500.45389290314,154.9942701478551
-178701.45199516648,152.94800720322783
-170812.07071390448,147.40866764313125
341392.0303256201,-287.5809021173574
341392.0303256201,-287.5809021173574
390874.32832998293,-329.92167030226733
391902.9915814276,-329.620224925428
398364.0922525351,-336.1038447768445
396119.41726787586,-334.1383243896872
285318.84891936014,-245.3181345305666
280321.79206757294,-233.78204581596404
332289.6717861056,-283.14432918103205
335779.1356610557,-279.8815663412527
333826.7548541108,-282.40970093735143
214894.72105303808,-182.18437014493188
134843.41542351327,-110.12057320876387
146298.40772463192,-121.55817734944061
-3201.3598155313866,7.4089154781135775
279424.5187939938,-233.71337533149747
-197349.6960012448,169.57505810240352
-203177.78933105562,178.26935141627584
-203177.78933105562,178.26935141627584
-157300.19364548833,133.86079784111118
-161143.71801859047,140.702499017215
-42643.41039527535,37.93344605389318
21609.208322212664,-16.782955252692336
-21278.664586049686,21.557106987434086
-22541.946170493335,20.294593800311976
-21077.06627750502,21.421381971288998
40784.80973974248,-33.252346513028826
40784.80973974248,-33.252346513028826
41101.55594988176,-33.26426055455025
-41043.90319297893,34.34075179865057
-39672.054247279615,38.22778097665683
115532.91361114652,-97.90678070493233
115804.20959472438,-97.59082481076946
144469.1455770755,-121.32715871864293
-41691.239990978735,39.47255062292126
-15268.485795846469,11.68264359320597
63720.49195675905,-52.980643552118124
63720.49195675905,-52.980643552118124
216411.82780889838,-182.36993949901475
217277.8356218173,-181.45602382296855
217277.8356218173,-181.45602382296855
95969.47923679385,-79.54564063779664
-61745.03765884125,54.32945136054551
-61745.03765884125,54.32945136054551
88742.35746650354,-74.45307392413396
121097.29173449309,-100.41457891846285
161955.0487000877,-135.073358938955
165830.6753125774,-136.9255288322663
163789.3279806072,-133.07642336990995
163789.3279806072,-133.07642336990995
105302.3012380492,-88.99789259665226
113184.39329232312,-94.43344584062882
-1467.7310408614076,3.42044620122274
-1467.7310408614076,3.42044620122274
195286.99365974896,-161.82905779871243
195286.99365974896,-161.82905779871243
195286.99365974896,-161.82905779871243
159578.80055292553,-130.66399599601905
159068.0934943394,-131.06511829963216
-102229.25502845284,86.82543323974065
-130618.82366534002,113.88487572606839
-117200.3771121947,100.64331445542258
-4874.805315088163,5.152425180021244
-244599.26739639108,207.81614931911133
-244599.26739639108,207.81614931911133
-108449.4246074821,94.54736238416419
-65994.40588946656,59.42588763864204
89534.52015988207,-75.54593342201542
88691.62814409626,-76.0036770160092
90023.00712495117,-76.44533478898076
42650.7463688,-36.854273496232544
42650.7463688,-36.854273496232544
44986.45562215129,-34.35917407451226
85263.24531423052,-68.23195232761185
161186.5748186752,-134.6939120240816
255993.0750620081,-215.32636702957274
260858.5180577862,-218.0263485154068
232156.0754976831,-195.89305821356484
236335.2967068381,-201.4544264631172
189003.4954010141,-157.66458852668325
149593.4091773344,-128.26332143007724
