Oil level_t_2,Oil level_t_3,Oil level_t_4,Oil level_t_5,Oil level_t_1
142.26687562012614,-34.706039911027915,896.3845403414493,941.0313924171123,728.1270802057248
79.60969516662229,127.07649892881926,-14.471103838372187,1154.0593160802937,-406.24859505204967
99.70133900678138,583.6691736317807,1378.014693783517,680.5246856922917,442.55394273573154
582.195123045545,1128.5659944173303,420.9081285683317,169.2543315936403,437.35328532277435
-91.04021323127859,-49.25447712026903,19.137470305093697,1174.1892566304746,136.16065311467662
614.2425129969217,492.7414093310016,133.52763055712614,278.8713622532528,291.56559425794444
619.0136551344926,135.08301382330774,1036.3325432769225,907.9079307946286,707.2885035911934
322.25626702307085,152.87721797142777,323.52243015413205,934.6440015822919,242.9252019658888
203.18638205850914,702.5914933122499,563.2230870356814,983.8189621704672,-38.07702323785816
270.88219857927754,456.23217677071113,-241.51402134086084,977.1903044587203,-152.3886568478666
-369.2685059900117,356.65807920487543,104.13890911514733,724.4563091636148,8.724727172096408
699.4999871992018,149.6110429196676,542.9921700609727,1054.6136760501167,491.6233190990301
756.302969752971,-39.33418384594489,-357.1844520509266,330.67320974302777,421.9383370107374
-137.86811563100525,459.216064741777,653.1868538045294,391.121324809711,-727.9739114996819
344.9079830769509,-655.4646762164176,438.31415219693264,1003.6497912037837,790.6306266845461
-346.8018764569922,384.1272501730774,-4.021737429736504,496.7078588333819,-806.9425636763385
538.7336765962424,-352.30733789472134,-79.16993856278779,300.76490073928505,280.2717348351201
88.6164014589516,491.99774888071687,918.6100001693653,583.0295729138431,-162.89256314450458
1088.5252148332454,346.31910631079717,499.1885751998649,575.6279500926094,811.7775350779782
915.6836045831096,780.0836523604387,405.2546598012153,1887.17185434673,426.65033556212984
-99.1602691476509,228.7440210106584,587.5220641797569,30.432124746247382,111.05181528000128
165.83693814146122,620.2779142701286,364.22978569575514,1015.7188311003076,-160.03818658108008
80.05529550313358,892.9615444271948,186.44570410182405,973.1214410448489,653.264598931333
764.750677493174,1171.4064885426305,1130.263163593954,795.0393198377283,1023.3758670133423
914.2562214083139,264.2535606919047,368.2679200035601,1714.5978482674693,1450.0874131799405
952.2919776169875,266.67553714248754,352.3712063818221,1826.48465633865,1110.779748777718
-770.9930650767155,-314.8298834919,131.47913983093824,-49.01867221440739,-499.02611620995106
-67.17794089513268,-20.20369397220105,412.0578101710114,-252.8598169216435,-50.6704275632643
140.84559921349003,743.8980268657543,528.3568575605598,427.4640915544626,-38.13360279949492
266.31585630226493,295.2358057196204,-99.35513838682243,846.4475906025556,-116.47911309620228
266.31585630226493,295.2358057196204,-99.35513838682243,846.4475906025556,-116.47911309620228
451.0250212867069,4.410410415971555,24.523769253676164,676.4917718781296,517.6841201487441
-14.129688285895938,-205.4407779687775,95.09922899523258,491.63282040098227,-404.7763386079288
171.6974480870951,41.257779802014795,501.7797021034076,256.02750065274915,139.79497543637675
-14.949537819377838,175.8594512502585,-18.77439151638562,1010.9304581239631,247.52426329100825
437.91901398739947,150.9360336657049,878.4467368798817,1071.5209642083669,172.6703491002896
117.99268860484054,440.25894170668835,-20.90162740912973,755.5775600100862,-34.74852056849426
224.7066946383537,298.1568137801525,427.9391737483583,671.3132232416716,-13.799345821024872
248.16453158806752,332.9007739073561,161.0453248805802,1138.0980989188026,301.66110122227093
425.6828544751464,549.3871884248647,529.7304835053784,1552.1531524710829,287.0094135350151
-218.2622280958253,-112.66455837882381,4.007060747017476,406.5677855860064,3.575717296412506
332.1292955763437,677.3512846345925,204.80063831830032,450.17311965233495,428.688912211159
-73.49433661875238,-568.2148985292486,-365.56283806818703,1502.7562455596913,-277.1306654688085
-73.49433661875238,-568.2148985292486,-365.56283806818703,1502.7562455596913,-277.1306654688085
